Name: “Table 1 of 1 on page 196 of 212”,Name: “Table 1 of 1 on page 196 of 212”,Name: “Table 1 of 1 on page 196 of 212”,Name: “Table 1 of 1 on page 196 of 212”,Name: “Table 1 of 1 on page 196 of 212”,Name: “Table 1 of 1 on page 196 of 212”,Name: “Table 1 of 1 on page 196 of 212”,Name: “Table 1 of 1 on page 196 of 212”
Table: 196,Table: 196,Table: 196,Table: 196,Table: 196,Table: 196,Table: 196,Table: 196
,,,,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant I,Accountant I,OPS010,"32,456","51,882",1,0,1
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",1,0,1
Administrative Assistant II,Administrative Assistant II,MAP003,"32,158","51,407",1,0,1
Administrative Secretary,Administrative Secretary,OPS009,"29,968","47,912",1,0,1
Assistant Fire Chief,Assistant Fire Chief,FRS010,"84,503","102,959",4,0,4
Assistant Fire Marshal,Assistant Fire Marshal,FRS006,"48,334","70,001",2,0,2
Battalion Fire Chief,Battalion Fire Chief,FRS009,"69,549","93,536",16,0,16
Business Manager,Business Manager,MAP008,"43,481","69,509",1,0,1
Deputy Chief of Fire-Rescue,Deputy Chief of Fire-Rescue,FRS011,"88,711","108,085",2,0,2
Fire Captain,Fire Captain,FRS008,"55,493","80,372",49,0,49
Fire Inspector,Fire Inspector,FRS005,"43,614","66,365",11,0,11
Fire Lieutenant,Fire Lieutenant,FRS006,"48,334","70,001",33,0,33
Fire/Paramedic Lieutenant,Fire/Paramedic Lieutenant,FRS007,"50,783","73,549",3,0,3
Firefighter EMT,Firefighter EMT,FRS002,"39,569","49,419",30,0,30
Firefighter EMT-Enhanced,Firefighter EMT-Enhanced,FRS003,"36,743","55,912",210,0,210
Firefighter EMT-I,Firefighter EMT-I,FRS004,"37,759","57,456",35,0,35
Firefighter EMT-P,Firefighter EMT-P,FRS005,"43,614","66,365",88,0,88
Firefighter Recruit,Firefighter Recruit,FRS001,"35,195","35,195",21,0,21
Management Analyst I,Management Analyst I,MAP006,"38,452","61,471",2,0,2
Management Analyst II,Management Analyst II,MAP008,"43,481","69,509",1,0,1
Media Production Specialist,Media Production Specialist,MAP007,"40,874","65,345",1,0,1
Operations Officer I,Operations Officer I,OPS006,"23,724","37,926",2,0,2
Staff Technician I,Staff Technician I,OPS008,"27,697","44,276",1,0,1
Support Technician,Support Technician,OPS006,"23,724","37,926",2,0,2
Subtotal,Subtotal,,,,518,,18
Overhires,Overhires,,,,7,,7
Total,Total,,,,525,,525
260,Fire-Rescue,,,,,,
