Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”,Name: “Table 1 of 1 on page 84 of 212”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,,,,,,,,,,,,,
•,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very,Managed over $1.5 billion in new and re-structured municipal debt instruments that achieved very
,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,competitve rates and reduced the City's current year and long-term debt obligations.,,,
•,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management,Administered the City's on-going reimbursment process under the Federal Emergency Management
,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages,Agency/Virginia Department of Emergency Management Public Assistance Program related to damages
,and expenses incurred in the November 2009 Nor'easter.,and expenses incurred in the November 2009 Nor'easter.,and expenses incurred in the November 2009 Nor'easter.,and expenses incurred in the November 2009 Nor'easter.,and expenses incurred in the November 2009 Nor'easter.,and expenses incurred in the November 2009 Nor'easter.,and expenses incurred in the November 2009 Nor'easter.,,,,,,,,,
•,Implemented,Implemented,improvements,to,the,CAFR,data,gathering,and,presentation,presentation,presentation,processes,processes,resulting,in
,decreased,start-to-publication,start-to-publication,timelines,timelines,while,,simultaneously,simultaneously,"developing,","developing,","developing,",tracking,and,reporting,reporting
,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,requirements for additional new and federal and state programs audit requirements.,,,
•,Received,the,"""Excellence",in Financial,in Financial,"Reporting"" certification","Reporting"" certification","Reporting"" certification","Reporting"" certification",by,the,national,national,Government,Finance,Finance
,Officers Association (GFOA).,Officers Association (GFOA).,Officers Association (GFOA).,,,,,,,,,,,,,
BUDGET H IGHLIGHTS,BUDGET H IGHLIGHTS,BUDGET H IGHLIGHTS,BUDGET H IGHLIGHTS,,,,,,,,,,,,,
"The total FY 2012 budget for Finance is $3,198,300.","The total FY 2012 budget for Finance is $3,198,300.","The total FY 2012 budget for Finance is $3,198,300.","The total FY 2012 budget for Finance is $3,198,300.","The total FY 2012 budget for Finance is $3,198,300.","The total FY 2012 budget for Finance is $3,198,300.","The total FY 2012 budget for Finance is $3,198,300.",,"This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget.","This is a $543,000 decrease from the FY 2011 budget."
