Name: “Table 1 of 1 on page 143 of 212”,Name: “Table 1 of 1 on page 143 of 212”,Name: “Table 1 of 1 on page 143 of 212”,Name: “Table 1 of 1 on page 143 of 212”,Name: “Table 1 of 1 on page 143 of 212”,Name: “Table 1 of 1 on page 143 of 212”,Name: “Table 1 of 1 on page 143 of 212”,Name: “Table 1 of 1 on page 143 of 212”
Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143
,,,,,,,
Position Summary,,,,,,,
,,,,FY 2011,,FY 2012,FY 2012
,,,,Approved,,Approved,Approved
,Pay Grade,Minimum,Maximum,Positions,Change,Positions,Positions
Accounting Technician,OPS007,"25,622","40,963",1,0,,1
Administrative Assistant II,MAP003,"32,158","51,407",1,0,,1
Administrative Secretary,OPS009,"29,968","47,912",1,0,,1
Administrative Technician,OPS008,"27,697","44,276",1,0,,1
Applications Development,,,,,,,
,ITM006,"56,672","90,598",1,0,,1
Team Supervisor,,,,,,,
Assistant Director of,,,,,,,
,SRM006,"64,848","114,132",1,0,,1
Libraries-Public Services,,,,,,,
Business Manager,MAP008,"43,481","69,509",1,0,,1
City Historian,MAP007,"40,874","65,345",1,0,,1
Custodian,OPS002,"17,601","28,140",1,0,,1
Data Quality Control Analyst,OPS008,"27,697","44,276",1,0,,1
Director of Libraries,EXE003,"86,070","148,838",1,0,,1
Information Technology,,,,,,,
,ITO009,"41,781","66,793",2,0,,2
Trainer,,,,,,,
Librarian I,MAP005,"36,200","57,872",8,-2,,6
Librarian II,MAP008,"43,481","69,509",14,-1,,13
Librarian III,MAP009,"46,289","74,003",5,0,,5
Library Assistant I,OPS004,"20,397","32,611",1,0,,1
Library Assistant II,OPS005,"21,987","35,150",15,0,,15
Library Associate I,OPS009,"29,968","47,912",16,0,,16
Library Associate II,OPS010,"32,456","51,882",6,0,,6
Microcomputer Systems,,,,,,,
,ITO005,"32,692","52,262",1,0,,1
Analyst,,,,,,,
Office Assistant,OPS003,"18,939","30,279",1,0,,1
Public Information Specialist I,MAP004,"34,106","54,524",1,0,,1
Public Relations Specialist,MAP007,"40,874","65,345",1,0,,1
Public Services Coordinator I,MAP006,"38,452","61,471",1,0,,1
Senior Microcomputer,,,,,,,
,ITM001,"40,977","65,509",1,0,,1
Systems Analyst,,,,,,,
Total,,,,84,,,81
,,,,,,Libraries,207
