Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”,Name: “Table 1 of 1 on page 27 of 56”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
SPECIAL REVENUE FUNDS DESCRIPTIONS,SPECIAL REVENUE FUNDS DESCRIPTIONS,SPECIAL REVENUE FUNDS DESCRIPTIONS,SPECIAL REVENUE FUNDS DESCRIPTIONS,,,,,,,
Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects),Special Revenue Funds are used to account for the proceeds of specific revenue sources (other than special projects)
that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,that are restricted by law or administrative action to being expended for specified purposes.,,
Virginia Public Assistance Fund - 201,Virginia Public Assistance Fund - 201,Virginia Public Assistance Fund - 201,,,,,,,,
The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.,The Virginia Public Assistance Fund was established to account for the rendering of economic aid to qualifying citizens.
The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal,The revenues included in this fund are primarily Revenues from the Commonwealth and Revenues from the Federal
"Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public","Government as Public Assistance Grants. The fund also includes revenues from Court Ordered Fees, Recoveries of Public"
"Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day","Assistance Grants, and Recoveries and Rebates. The decline in FY 2013 is caused by a change in the management of day"
care payments by the State.,care payments by the State.,,,,,,,,,
,,,PUBLIC ASSISTANCE FUND ( % Change),PUBLIC ASSISTANCE FUND ( % Change),PUBLIC ASSISTANCE FUND ( % Change),PUBLIC ASSISTANCE FUND ( % Change),PUBLIC ASSISTANCE FUND ( % Change),,,
15%,,,,,,,,,,
,,11.8%,,,,,,,,10.6%
,8.4%,,,,,,,,,
10%,,,,,,,,,,
,,,,,5.5%,,,,,
5%,,,,,,3.4%,2.5%,,,
,,,0.7%,0.6%,,,,,,
0%,,,,,,,,,,
-1.5%,,,,,,,,,,
-5%,,,,,,,,,,
,,,,,,,,-6.6%,,
-10%,,,,,,,,,,
-15%,,,,,,,,,,
,,,,,,,,,-17.1%,
-20%,,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,2012,Budget,Forecast
,,,,,Fiscal Year,,,,2013,2014
,,CHESAPEAKE VIRGINIA PUBLIC ASSISTANCE FUND - 201 REVENUES,CHESAPEAKE VIRGINIA PUBLIC ASSISTANCE FUND - 201 REVENUES,CHESAPEAKE VIRGINIA PUBLIC ASSISTANCE FUND - 201 REVENUES,CHESAPEAKE VIRGINIA PUBLIC ASSISTANCE FUND - 201 REVENUES,CHESAPEAKE VIRGINIA PUBLIC ASSISTANCE FUND - 201 REVENUES,CHESAPEAKE VIRGINIA PUBLIC ASSISTANCE FUND - 201 REVENUES,CHESAPEAKE VIRGINIA PUBLIC ASSISTANCE FUND - 201 REVENUES,,
,,,Fiscal Year,Fiscal Year,Assistance,Change,Change,,,
,,,2004,2004,"$11,489,272",,-1.5%,,,
,,,2005,2005,"$12,459,743",,8.4%,,,
,,,2006,2006,"$13,935,194",,11.8%,,,
,,,2007,2007,"$14,029,166",,0.7%,,,
,,,2008,2008,"$14,111,327",,0.6%,,,
,,,2009,2009,"$14,883,958",,5.5%,,,
,,,2010,2010,"$15,383,992",,3.4%,,,
,,,2011,2011,"$15,769,472",,2.5%,,,
,,,2012,2012,"$14,735,050",,-6.6%,,,
,,,Budget 2013,Budget 2013,"$12,208,444",,-17.1%,,,
,,,Forecast 2014,Forecast 2014,"$13,497,177",,10.6%,,,
FY 2013-14 Operating Budget,FY 2013-14 Operating Budget,,,,61,,,,"As Amended June 11, 2013","As Amended June 11, 2013"
