Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”,Name: “Table 1 of 1 on page 8 of 56”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,
Income of Residents,Income of Residents,,,,,,,,,
"Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal","Closely related to employment is income, another important driver of consumption-related tax revenues. Total personal"
"income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per","income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of growth on a per"
capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for,capita basis is variable but strongly positive since 1996. Personal income drives wealth and consumption that form the base for
"local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also","local tax revenues. In turn, rising incomes reflect not only better economic opportunities for existing residents, but also"
immigration of high wage workers buying new homes in the City.,immigration of high wage workers buying new homes in the City.,immigration of high wage workers buying new homes in the City.,immigration of high wage workers buying new homes in the City.,immigration of high wage workers buying new homes in the City.,immigration of high wage workers buying new homes in the City.,,,,,
,CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),CHESAPEAKE TOTAL PERSONAL INCOME (Not inflation Adjusted),,
,,(Bureau of Economic Analysis County Summary CA04),(Bureau of Economic Analysis County Summary CA04),(Bureau of Economic Analysis County Summary CA04),(Bureau of Economic Analysis County Summary CA04),(Bureau of Economic Analysis County Summary CA04),(Bureau of Economic Analysis County Summary CA04),(Bureau of Economic Analysis County Summary CA04),,
10%,,,,,,,,,,
8.5%,,,,,,,,,,
,,7.6%,,,,,,,,
8%,,,,,,,,,,
,,,,,7.0%,6.7%,,,,
,6.3%,,,,,,,,,
6%,,,5.5%,5.4%,,,,,,
,,,,,,,,,,4.9%
4%,,,,,,,,,3.6%,
,,,,,,,3.0%,,,
2%,,,,,,,,,,
0%,,,,,,,,,,
,,,,,,,,-0.8%,,
-2%,,,,,,,,,,
2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
,,TOTAL PERSONAL INCOME IN MILLIONS (NOT INFLATION ADJUSTED),TOTAL PERSONAL INCOME IN MILLIONS (NOT INFLATION ADJUSTED),TOTAL PERSONAL INCOME IN MILLIONS (NOT INFLATION ADJUSTED),TOTAL PERSONAL INCOME IN MILLIONS (NOT INFLATION ADJUSTED),TOTAL PERSONAL INCOME IN MILLIONS (NOT INFLATION ADJUSTED),TOTAL PERSONAL INCOME IN MILLIONS (NOT INFLATION ADJUSTED),TOTAL PERSONAL INCOME IN MILLIONS (NOT INFLATION ADJUSTED),,
,,,,Hampton,Hampton,,,,,
Calendar Year,Virginia,Change,Change,Roads MSA,Roads MSA,Change,Change,Chesapeake,Chesapeake,Change
2000,"224,788",,,"42,294","42,294",,,"5,464",,
2001,"239,315",,6.5%,"45,334","45,334",7.2%,7.2%,"5,929",,8.5%
2002,"245,841",,2.7%,"47,502","47,502",4.8%,4.8%,"6,300",,6.3%
2003,"258,087",,5.0%,"50,666","50,666",6.7%,6.7%,"6,780",,7.6%
2004,"275,618",,6.8%,"53,622","53,622",5.8%,5.8%,"7,155",,5.5%
2005,"294,734",,6.9%,"56,595","56,595",5.5%,5.5%,"7,542",,5.4%
2006,"316,298",,7.3%,"60,739","60,739",7.3%,7.3%,"8,070",,7.0%
2007,"335,319",,6.0%,"64,169","64,169",5.6%,5.6%,"8,611",,6.7%
2008,"350,091",,4.4%,"66,541","66,541",3.7%,3.7%,"8,868",,3.0%
2009,"340,256",-2.8%,-2.8%,"65,052","65,052",-2.2%,-2.2%,"8,796",,-0.8%
2010,"354,127",,4.1%,"67,182","67,182",3.3%,3.3%,"9,116",,3.6%
2011,"373,312",,5.4%,"70,516","70,516",5.0%,5.0%,"9,566",,4.9%
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,42,,,"As Amended June 11, 2013","As Amended June 11, 2013","As Amended June 11, 2013"
