Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”,Name: “Table 1 of 1 on page 38 of 56”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Chesapeake Transportation System Fund - 525,Chesapeake Transportation System Fund - 525,Chesapeake Transportation System Fund - 525,Chesapeake Transportation System Fund - 525,,,,,,,
Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the,Formerly the Chesapeake Expressway Fund established to account for revenues and expenditures related to the
"operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The","operation and debt service of Route 168, which is operated as a toll road by the Department of Public Works. The"
revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also,revenues in this fund come primarily from the Cash and Electronic (prepaid) Tolls. A small amount of revenue may also
"come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March","come from Interest, Recovered Costs and Service Charges. The FY12 increase reflects a toll rate increase approved March"
