Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”,Name: “Table 1 of 1 on page 20 of 56”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,
REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,
"Permits, Privilege Fees and Regulatory Licenses","Permits, Privilege Fees and Regulatory Licenses","Permits, Privilege Fees and Regulatory Licenses","Permits, Privilege Fees and Regulatory Licenses",,,,,,,
The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that fees
"be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal","be paid for services provided by certain City departments. These fees include building permits, inspections, animal"
"licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities).","licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported Activities)."
"Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount","Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the amount",
collected reflect the level of construction activity in the city.,collected reflect the level of construction activity in the city.,collected reflect the level of construction activity in the city.,collected reflect the level of construction activity in the city.,collected reflect the level of construction activity in the city.,collected reflect the level of construction activity in the city.,,,,,
,,,,GENERAL FUND PERMIT FEES ( % Change),GENERAL FUND PERMIT FEES ( % Change),GENERAL FUND PERMIT FEES ( % Change),GENERAL FUND PERMIT FEES ( % Change),,,
30%,,,,,,,,,,
26.7%,,,,,,,,,,
25%,,,,,,,,,,
20%,16.2%,,,,,,,,,
15%,,,,,,,,,,
10%,,6.9%,,,,,6.5%,,,
,,,,,,,,3.6%,,
5%,,,,,,,,,,1.6%
0%,,,,,,,,,,
-5%,,,,,,,,,,
-10%,,,-6.1%,-7.5%,,-6.8%,,,,
-15%,,,,,,,,,-12.5%,
-20%,,,,,,,,,,
,,,,,-18.6%,,,,,
-25%,,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,2012,Budget,Estimated
,,,,,FISCAL YEAR,,,,2013,2013
,,,CHESAPEAKE PERMIT FEE REVENUES,CHESAPEAKE PERMIT FEE REVENUES,CHESAPEAKE PERMIT FEE REVENUES,CHESAPEAKE PERMIT FEE REVENUES,,,,
,,Fiscal Year,Fiscal Year,Revenue,Revenue,Change,,,,
,,,2004,"$2,495,792","$2,495,792",26.7%,,,,
,,,2005,"$2,900,145","$2,900,145",16.2%,,,,
,,,2006,"$3,100,077","$3,100,077",6.9%,,,,
,,,2007,"$2,910,153","$2,910,153",-6.1%,,,,
,,,2008,"$2,692,059","$2,692,059",-7.5%,,,,
,,,2009,"$2,191,355","$2,191,355",-18.6%,,,,
,,,2010,"$2,043,378","$2,043,378",-6.8%,,,,
,,,2011,"$2,176,552","$2,176,552",6.5%,,,,
,,,2012,"$2,254,819","$2,254,819",3.6%,,,,
,,Budget 2013,Budget 2013,"$1,973,388","$1,973,388",-12.5%,,,,
,,Estimated 2013,Estimated 2013,"$2,290,194","$2,290,194",1.6%,,,,
,,Forecast 2014,Forecast 2014,"$2,400,631","$2,400,631",4.8%,,,,
