Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”,Name: “Table 1 of 1 on page 32 of 56”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Chesapeake Juvenile Services Fund - 208,Chesapeake Juvenile Services Fund - 208,Chesapeake Juvenile Services Fund - 208,Chesapeake Juvenile Services Fund - 208,,,,,,,
This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures
related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the,related exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the
General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state,General Fund. The revenues are primarily payments by other localities for juveniles served by the center and state
"categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue","categorical aid. In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue"
previously earned by housing that City's detained juveniles at the Chesapeake home.,previously earned by housing that City's detained juveniles at the Chesapeake home.,previously earned by housing that City's detained juveniles at the Chesapeake home.,previously earned by housing that City's detained juveniles at the Chesapeake home.,previously earned by housing that City's detained juveniles at the Chesapeake home.,previously earned by housing that City's detained juveniles at the Chesapeake home.,previously earned by housing that City's detained juveniles at the Chesapeake home.,previously earned by housing that City's detained juveniles at the Chesapeake home.,,,
,,,JUVENILE SERVICES FUND ( % Change),JUVENILE SERVICES FUND ( % Change),JUVENILE SERVICES FUND ( % Change),JUVENILE SERVICES FUND ( % Change),JUVENILE SERVICES FUND ( % Change),,,
30%,,,,,,,,,,
25%,,,,23.4%,,,,,,
20%,,,,,,,,,,
15%,,,,,,,,,,
10%,,,,,,,,,,
,,,,,,,,3.4%,,
5%,,,,,,,,,,
1.0%,,,,,,,,,,
0%,,,,,,,,,,
,,,,,,,-0.8%,,,0.0%
-5%,,,,,,,,,-1.8%,
-10%,,-6.0%,,,,,,,,
,,,,,-8.4%,,,,,
-15%,,,,,,,,,,
-20%,-17.3%,,,,,-17.2%,,,,
,,,-20.1%,,,,,,,
-25%,,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,2012,Budget,Forecast
,,,,,Axis Title,,,,2013,2014
,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,,
,,,Fiscal Year,Fiscal Year,Revenue,Change,Change,,,
,,,2004,2004,"$6,152,144",,1.0%,,,
,,,2005,2005,"$5,085,224",-17.3%,-17.3%,,,
,,,2006,2006,"$4,779,540",,-6.0%,,,
,,,2007,2007,"$3,821,186",-20.1%,-20.1%,,,
,,,2008,2008,"$4,717,240",23.4%,23.4%,,,
,,,2009,2009,"$4,321,424",,-8.4%,,,
,,,2010,2010,"$3,576,618",-17.2%,-17.2%,,,
,,,2011,2011,"$3,548,435",,-0.8%,,,
,,,2012,2012,"$3,670,630",,3.4%,,,
,,,Budget 2013,Budget 2013,"$3,605,319",,-1.8%,,,
,,,Forecast 2014,Forecast 2014,"$3,605,317",,0.0%,,,
FY 2013-14 Operating Budget,,,,,66,,,,"As Amended June 11, 2013","As Amended June 11, 2013"
