Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”,Name: “Table 1 of 1 on page 100 of 214”
Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100
,,,,,,,
•,Support operations/maintenance of Town Point Park,Support operations/maintenance of Town Point Park,Support operations/maintenance of Town Point Park,FY 2013:,"$65,000",Positions:,0
,fountain,,,,,,
,Provide funds to support the annual maintenance needs of the Town Point Park fountain.,Provide funds to support the annual maintenance needs of the Town Point Park fountain.,Provide funds to support the annual maintenance needs of the Town Point Park fountain.,Provide funds to support the annual maintenance needs of the Town Point Park fountain.,Provide funds to support the annual maintenance needs of the Town Point Park fountain.,,
•,Support mail/reprographics cost increase,Support mail/reprographics cost increase,,FY 2013:,"$110,961",Positions:,0
,Support paper costs and additional contractual terms which were previously not identified in the original mail,Support paper costs and additional contractual terms which were previously not identified in the original mail,Support paper costs and additional contractual terms which were previously not identified in the original mail,Support paper costs and additional contractual terms which were previously not identified in the original mail,Support paper costs and additional contractual terms which were previously not identified in the original mail,Support paper costs and additional contractual terms which were previously not identified in the original mail,
,contract.,,,,,,
•,Support Southside Aquatics Center operational costs,Support Southside Aquatics Center operational costs,Support Southside Aquatics Center operational costs,FY 2013:,"$60,000",Positions:,0
,"Fund operational and maintenance costs for the Southside Aquatics Center, which is scheduled to open June","Fund operational and maintenance costs for the Southside Aquatics Center, which is scheduled to open June","Fund operational and maintenance costs for the Southside Aquatics Center, which is scheduled to open June","Fund operational and maintenance costs for the Southside Aquatics Center, which is scheduled to open June","Fund operational and maintenance costs for the Southside Aquatics Center, which is scheduled to open June","Fund operational and maintenance costs for the Southside Aquatics Center, which is scheduled to open June",
,2013. This estimate is based on standard maintenance costs and experience with like facilities.,2013. This estimate is based on standard maintenance costs and experience with like facilities.,2013. This estimate is based on standard maintenance costs and experience with like facilities.,2013. This estimate is based on standard maintenance costs and experience with like facilities.,2013. This estimate is based on standard maintenance costs and experience with like facilities.,2013. This estimate is based on standard maintenance costs and experience with like facilities.,
•,Support increased contractual custodial costs,Support increased contractual custodial costs,,FY 2013:,"$12,156",Positions:,0
,Fund increased contractual custodial costs for supplies. This adjustment reflects both a reduction in overall,Fund increased contractual custodial costs for supplies. This adjustment reflects both a reduction in overall,Fund increased contractual custodial costs for supplies. This adjustment reflects both a reduction in overall,Fund increased contractual custodial costs for supplies. This adjustment reflects both a reduction in overall,Fund increased contractual custodial costs for supplies. This adjustment reflects both a reduction in overall,Fund increased contractual custodial costs for supplies. This adjustment reflects both a reduction in overall,
,custodial contract costs as well as an increase in cost of custodial paper products. The amount shown is the net,custodial contract costs as well as an increase in cost of custodial paper products. The amount shown is the net,custodial contract costs as well as an increase in cost of custodial paper products. The amount shown is the net,custodial contract costs as well as an increase in cost of custodial paper products. The amount shown is the net,custodial contract costs as well as an increase in cost of custodial paper products. The amount shown is the net,custodial contract costs as well as an increase in cost of custodial paper products. The amount shown is the net,custodial contract costs as well as an increase in cost of custodial paper products. The amount shown is the net
,amount needed to manage the contract.,amount needed to manage the contract.,,,,,
•,Reduce electricity costs,,,FY 2013:,"($274,800)",Positions:,0
,Decrease electricity costs due to a combination of Central Energy Plant upgrades funded by the Department of,Decrease electricity costs due to a combination of Central Energy Plant upgrades funded by the Department of,Decrease electricity costs due to a combination of Central Energy Plant upgrades funded by the Department of,Decrease electricity costs due to a combination of Central Energy Plant upgrades funded by the Department of,Decrease electricity costs due to a combination of Central Energy Plant upgrades funded by the Department of,Decrease electricity costs due to a combination of Central Energy Plant upgrades funded by the Department of,
