Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”,Name: “Table 1 of 1 on page 13 of 214”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,,
E XPENDITURE S UMMARY,E XPENDITURE S UMMARY,E XPENDITURE S UMMARY,,,,,,
,,,FY 2010,FY 2011,FY 2011,,FY 2012,FY 2013
,,,Actual,,Actual,Approved,Approved,Approved
Personnel Services,Personnel Services,,"$615,194","$598,079","$598,079","$664,115","$664,115","$774,563"
"Materials, Supplies and Repairs","Materials, Supplies and Repairs",,"$2,997",,"$4,503",,"$3,419","$3,656"
Contractual Services,Contractual Services,,"$11,869",,"$10,149",,"$11,466","$15,033"
Total,Total,,"$630,060","$612,731","$612,731","$679,000","$679,000","$793,252"
A PPROVED FY 2013 B UDGET A CTIONS,A PPROVED FY 2013 B UDGET A CTIONS,A PPROVED FY 2013 B UDGET A CTIONS,,,,,,
•,Update personnel expenditures,Update personnel expenditures,,FY 2013:,,"$39,252",,
,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the
,"position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and"
,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.
,"The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,"
