Name: “Table 1 of 1 on page 34 of 214”,Name: “Table 1 of 1 on page 34 of 214”,Name: “Table 1 of 1 on page 34 of 214”,Name: “Table 1 of 1 on page 34 of 214”,Name: “Table 1 of 1 on page 34 of 214”,Name: “Table 1 of 1 on page 34 of 214”,Name: “Table 1 of 1 on page 34 of 214”,Name: “Table 1 of 1 on page 34 of 214”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,
•,Provide funds for Administrative Assistant II,Provide funds for Administrative Assistant II,,FY 2013:,"$35,004",Positions:,1
,Provide funds for full-time Administrative Assistant II position in the Department to End Homelessness (OTEH).,Provide funds for full-time Administrative Assistant II position in the Department to End Homelessness (OTEH).,Provide funds for full-time Administrative Assistant II position in the Department to End Homelessness (OTEH).,Provide funds for full-time Administrative Assistant II position in the Department to End Homelessness (OTEH).,Provide funds for full-time Administrative Assistant II position in the Department to End Homelessness (OTEH).,Provide funds for full-time Administrative Assistant II position in the Department to End Homelessness (OTEH).,
,OTEH is a small department staffed by three employees. An Administrative Assistant is needed to organize,OTEH is a small department staffed by three employees. An Administrative Assistant is needed to organize,OTEH is a small department staffed by three employees. An Administrative Assistant is needed to organize,OTEH is a small department staffed by three employees. An Administrative Assistant is needed to organize,OTEH is a small department staffed by three employees. An Administrative Assistant is needed to organize,OTEH is a small department staffed by three employees. An Administrative Assistant is needed to organize,
,"housing files, process office reimbursements and bills in a timely manner, answer phone calls, serve as the","housing files, process office reimbursements and bills in a timely manner, answer phone calls, serve as the","housing files, process office reimbursements and bills in a timely manner, answer phone calls, serve as the","housing files, process office reimbursements and bills in a timely manner, answer phone calls, serve as the","housing files, process office reimbursements and bills in a timely manner, answer phone calls, serve as the","housing files, process office reimbursements and bills in a timely manner, answer phone calls, serve as the",
,"central point of contact for the 1,000 Homes for 1,000 Virginians registry, and to perform various other","central point of contact for the 1,000 Homes for 1,000 Virginians registry, and to perform various other","central point of contact for the 1,000 Homes for 1,000 Virginians registry, and to perform various other","central point of contact for the 1,000 Homes for 1,000 Virginians registry, and to perform various other","central point of contact for the 1,000 Homes for 1,000 Virginians registry, and to perform various other","central point of contact for the 1,000 Homes for 1,000 Virginians registry, and to perform various other",
,administrative tasks.,,,,,,
•,Reduce funding for Housing First program contract,Reduce funding for Housing First program contract,,FY 2013:,"($10,000)",Positions:,0
,Reduce funding for the Housing First program due to reduced contract costs. The Housing First program,Reduce funding for the Housing First program due to reduced contract costs. The Housing First program,Reduce funding for the Housing First program due to reduced contract costs. The Housing First program,Reduce funding for the Housing First program due to reduced contract costs. The Housing First program,Reduce funding for the Housing First program due to reduced contract costs. The Housing First program,Reduce funding for the Housing First program due to reduced contract costs. The Housing First program,
,contracts with the city on a reimbursement basis. This reduction is based on actual expenditure. No impact to,contracts with the city on a reimbursement basis. This reduction is based on actual expenditure. No impact to,contracts with the city on a reimbursement basis. This reduction is based on actual expenditure. No impact to,contracts with the city on a reimbursement basis. This reduction is based on actual expenditure. No impact to,contracts with the city on a reimbursement basis. This reduction is based on actual expenditure. No impact to,contracts with the city on a reimbursement basis. This reduction is based on actual expenditure. No impact to,
,service is anticipated.,,,,,,
,Office to End Homelessness,Office to End Homelessness,,Total FY 2013:,"($98,710)",Positions:,1
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",0,1,1
Director of the Office on,Director of the Office on,,,,,,
,,EXE001,"$66,752","$115,289",1,0,1
Homelessness,Homelessness,,,,,,
Management Analyst I,Management Analyst I,MAP006,"$39,221","$62,700",1,0,1
Management Analyst II,Management Analyst II,MAP008,"$44,351","$70,899",1,0,1
Total,Total,,,,3,1,4
136,Office to End Homelessness,,,,,,
