Name: “Table 1 of 1 on page 151 of 214”,Name: “Table 1 of 1 on page 151 of 214”,Name: “Table 1 of 1 on page 151 of 214”,Name: “Table 1 of 1 on page 151 of 214”,Name: “Table 1 of 1 on page 151 of 214”,Name: “Table 1 of 1 on page 151 of 214”,Name: “Table 1 of 1 on page 151 of 214”,Name: “Table 1 of 1 on page 151 of 214”
Table: 151,Table: 151,Table: 151,Table: 151,Table: 151,Table: 151,Table: 151,Table: 151
,,,,,,,
•,Provide additional custodial services at MacArthur,Provide additional custodial services at MacArthur,Provide additional custodial services at MacArthur,FY 2013:,"$20,000",Positions:,0
,Memorial,,,,,,
,Provide additional funds for janitorial staff at the MacArthur Memorial to properly clean and maintain the,Provide additional funds for janitorial staff at the MacArthur Memorial to properly clean and maintain the,Provide additional funds for janitorial staff at the MacArthur Memorial to properly clean and maintain the,Provide additional funds for janitorial staff at the MacArthur Memorial to properly clean and maintain the,Provide additional funds for janitorial staff at the MacArthur Memorial to properly clean and maintain the,Provide additional funds for janitorial staff at the MacArthur Memorial to properly clean and maintain the,
,existing buildings and the expansion which is anticipated to open the beginning of FY 2013.,existing buildings and the expansion which is anticipated to open the beginning of FY 2013.,existing buildings and the expansion which is anticipated to open the beginning of FY 2013.,existing buildings and the expansion which is anticipated to open the beginning of FY 2013.,existing buildings and the expansion which is anticipated to open the beginning of FY 2013.,,
•,Capture savings from reducing discretionary expenses,Capture savings from reducing discretionary expenses,Capture savings from reducing discretionary expenses,FY 2013:,"($20,344)",Positions:,0
,"Capture savings from reducing purchases of materials, supplies, equipment, small tools, reprographic services,","Capture savings from reducing purchases of materials, supplies, equipment, small tools, reprographic services,","Capture savings from reducing purchases of materials, supplies, equipment, small tools, reprographic services,","Capture savings from reducing purchases of materials, supplies, equipment, small tools, reprographic services,","Capture savings from reducing purchases of materials, supplies, equipment, small tools, reprographic services,","Capture savings from reducing purchases of materials, supplies, equipment, small tools, reprographic services,",
,and preventive maintenance. No impact to services is expected from this action.,and preventive maintenance. No impact to services is expected from this action.,and preventive maintenance. No impact to services is expected from this action.,and preventive maintenance. No impact to services is expected from this action.,,,
•,"Supplant support for advertising, marketing, and","Supplant support for advertising, marketing, and","Supplant support for advertising, marketing, and",FY 2013:,"($49,000)",Positions:,0
,membership,,,,,,
,"Transfer advertising, marketing, and membership fee expenses to revenues generated from various","Transfer advertising, marketing, and membership fee expenses to revenues generated from various","Transfer advertising, marketing, and membership fee expenses to revenues generated from various","Transfer advertising, marketing, and membership fee expenses to revenues generated from various","Transfer advertising, marketing, and membership fee expenses to revenues generated from various","Transfer advertising, marketing, and membership fee expenses to revenues generated from various",
,entertainment shows or events.,entertainment shows or events.,,,,,
,"Cultural Facilities, Arts & Entertainment","Cultural Facilities, Arts & Entertainment","Cultural Facilities, Arts & Entertainment",Total FY 2013:,"$135,830",Positions:,2
P OSITION S UMMARY,P OSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",1,0,1
Accountant II,Accountant II,OPS011,"$35,886","$57,371",1,0,1
Accounting Manager,Accounting Manager,MAP012,"$57,228","$91,486",1,0,1
Administrative Technician,Administrative Technician,OPS008,"$28,251","$45,161",2,0,2
Archivist,Archivist,MAP006,"$39,221","$62,700",1,0,1
Arts Manager,Arts Manager,SRM001,"$49,196","$86,583",0,1,1
Assistant Director of,Assistant Director of,,,,,,
,,SRM006,"$66,145","$116,415",1,0,1
Entertainment Facilities,Entertainment Facilities,,,,,,
Assistant Facilities Maintenance,Assistant Facilities Maintenance,,,,,,
,,MAP012,"$57,228","$91,486",1,0,1
Manager,Manager,,,,,,
Box Office Manager,Box Office Manager,MAP008,"$44,351","$70,899",1,0,1
Box Office Supervisor,Box Office Supervisor,MAP003,"$32,801","$52,435",2,0,2
Carpenter II,Carpenter II,OPS009,"$30,567","$48,870",1,0,1
Crew Leader II,Crew Leader II,OPS009,"$30,567","$48,870",3,0,3
Curator,Curator,MAP007,"$41,691","$66,652",1,0,1
"Director of Cultural Affairs, Arts,","Director of Cultural Affairs, Arts,",,,,,,
,,EXE003,"$87,791","$151,815",1,0,1
& Entertainment,& Entertainment,,,,,,
Education Manager,Education Manager,MAP009,"$47,215","$75,483",1,0,1
Event Coordinator,Event Coordinator,MAP007,"$41,691","$66,652",2,0,2
Event Manager,Event Manager,MAP009,"$47,215","$75,483",1,0,1
MacArthur Memorial Director,MacArthur Memorial Director,SRM004,"$58,509","$102,977",1,0,1
Maintenance Mechanic II,Maintenance Mechanic II,OPS008,"$28,251","$45,161",5,0,5
Maintenance Supervisor II,Maintenance Supervisor II,MAP007,"$41,691","$66,652",1,0,1
Maintenance Worker I,Maintenance Worker I,OPS003,"$19,318","$30,885",9,0,9
Maintenance Worker II,Maintenance Worker II,OPS004,"$20,805","$33,263",8,0,8
Management Analyst II,Management Analyst II,MAP008,"$44,351","$70,899",1,0,1
,,,,,"Cultural Facilities, Arts & Entertainment","Cultural Facilities, Arts & Entertainment",253
