Name: “Table 1 of 1 on page 208 of 214”,Name: “Table 1 of 1 on page 208 of 214”,Name: “Table 1 of 1 on page 208 of 214”,Name: “Table 1 of 1 on page 208 of 214”,Name: “Table 1 of 1 on page 208 of 214”,Name: “Table 1 of 1 on page 208 of 214”,Name: “Table 1 of 1 on page 208 of 214”,Name: “Table 1 of 1 on page 208 of 214”
Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208
,,,,,,,
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Electrician I,Electrician I,OPS007,"$26,135","$41,782",1,0,1
Engineering Technician II,Engineering Technician II,OPS010,"$33,105","$52,920",8,0,8
Engineering Technician III,Engineering Technician III,OPS011,"$35,886","$57,371",1,0,1
Equipment Operator II,Equipment Operator II,OPS006,"$24,199","$38,684",21,0,21
Equipment Operator III,Equipment Operator III,OPS008,"$28,251","$45,161",12,0,12
Equipment Operator IV,Equipment Operator IV,OPS009,"$30,567","$48,870",1,0,1
Fleet Coordinator,Fleet Coordinator,MAP006,"$39,221","$62,700",1,0,1
Geographic Information Systems,Geographic Information Systems,,,,,,
,,OPS010,"$33,105","$52,920",1,0,1
Technician,Technician,,,,,,
Geographic Information Systems,Geographic Information Systems,,,,,,
,,MAP006,"$39,221","$62,700",1,0,1
Technician II,Technician II,,,,,,
Instrument Technician,Instrument Technician,OPS009,"$30,567","$48,870",3,0,3
Maintenance Mechanic I,Maintenance Mechanic I,OPS007,"$26,135","$41,782",1,0,1
Maintenance Worker I,Maintenance Worker I,OPS003,"$19,318","$30,885",8,0,8
Maintenance Worker II,Maintenance Worker II,OPS004,"$20,805","$33,263",11,0,11
Management Analyst I,Management Analyst I,MAP006,"$39,221","$62,700",1,0,1
Management Analyst II,Management Analyst II,MAP008,"$44,351","$70,899",3,1,4
Management Services,Management Services,,,,,,
,,SRM004,"$58,509","$102,977",1,0,1
Administrator,Administrator,,,,,,
Operations Manager,Operations Manager,MAP010,"$50,303","$80,416",2,0,2
Personnel Specialist,Personnel Specialist,MAP005,"$36,924","$59,029",1,0,1
Project Manager,Project Manager,MAP010,"$50,303","$80,416",3,0,3
Refuse Collection Supervisor,Refuse Collection Supervisor,OPS010,"$33,105","$52,920",6,0,6
Refuse Collector Assistant,Refuse Collector Assistant,OPS005,"$22,427","$35,853",2,0,2
"Refuse Collector, Lead","Refuse Collector, Lead",OPS008,"$28,251","$45,161",5,0,5
"Refuse Collector, Senior","Refuse Collector, Senior",OPS007,"$26,135","$41,782",75,0,75
Refuse Inspector,Refuse Inspector,OPS009,"$30,567","$48,870",5,0,5
Right of Way Permit Supervisor,Right of Way Permit Supervisor,MAP009,"$47,215","$75,483",1,0,1
Safety Specialist,Safety Specialist,OPS011,"$35,886","$57,371",1,0,1
Senior Design/Construction,Senior Design/Construction,,,,,,
,,MAP012,"$57,228","$91,486",6,0,6
Project Manager,Project Manager,,,,,,
Senior Traffic Engineer,Senior Traffic Engineer,MAP010,"$50,303","$80,416",1,0,1
Senior Transportation Engineer,Senior Transportation Engineer,MAP010,"$50,303","$80,416",1,0,1
Staff Technician I,Staff Technician I,OPS008,"$28,251","$45,161",1,0,1
Staff Technician II,Staff Technician II,OPS009,"$30,567","$48,870",1,0,1
Street Maintenance Supervisor,Street Maintenance Supervisor,OPS011,"$35,886","$57,371",12,0,12
Streets Engineer,Streets Engineer,SRM005,"$62,166","$109,411",1,0,1
Superintendent of Traffic,Superintendent of Traffic,,,,,,
,,MAP011,"$53,634","$85,742",1,0,1
Operations,Operations,,,,,,
Superintendent of Waste,Superintendent of Waste,,,,,,
,,SRM005,"$62,166","$109,411",1,0,1
Management,Management,,,,,,
310,Public Works,,,,,,
