Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”,Name: “Table 1 of 1 on page 109 of 214”
Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109
,,,,,,,,,,,,,
P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,P LANNING AND COMMUNITY DEVELOPMENT,,,,
MISSION S TATEMENT,MISSION S TATEMENT,,,,,,,,,,,,
The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and,The Department of Planning and Community Development ensures the highest quality of life for present and
future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of,future generations by providing excellent planning and enforcement services emphasizing the development of
"safe, healthy, and fun communities where people choose to live, work and play.","safe, healthy, and fun communities where people choose to live, work and play.","safe, healthy, and fun communities where people choose to live, work and play.","safe, healthy, and fun communities where people choose to live, work and play.","safe, healthy, and fun communities where people choose to live, work and play.","safe, healthy, and fun communities where people choose to live, work and play.","safe, healthy, and fun communities where people choose to live, work and play.","safe, healthy, and fun communities where people choose to live, work and play.",,,,,,
D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,,,,,,,,,,,
The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect,The Department of Planning and Community Development is responsible for ensuring that Norfolk's plans reflect
"goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.","goals and policies that are supported by citizens, approved by City Council, and appropriately implemented.",The,The
Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's,Department fulfills four primary functions: provision of long-range planning services; implementation of the city's
land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;,land use regulations; implementation of the Chesapeake Bay Preservation Act and erosion control programs;
oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,oversight of building safety during the construction process; and enforcement of city codes.,,,,
"Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other","Planning Services: Develops and coordinates guidance and policy direction, through the General Plan and other"
plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of,plans for: land use policies; transportation; economic development; neighborhood planning; and location of
facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance,facilities. The Bureau implements land use policy and regulates development practices through the maintenance
and interpretation of the Zoning Ordinance.,and interpretation of the Zoning Ordinance.,and interpretation of the Zoning Ordinance.,and interpretation of the Zoning Ordinance.,,,,,,,,,,
