Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”,Name: “Table 1 of 1 on page 177 of 214”
Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177
,,,,,,,
,,"Priority: Safe, Healthy and Inclusive Communities","Priority: Safe, Healthy and Inclusive Communities","Priority: Safe, Healthy and Inclusive Communities",,,
Goal,Goal,,,,,,
"Create a culture that promotes health, engages in prevention, and supports the economic and social well being of","Create a culture that promotes health, engages in prevention, and supports the economic and social well being of","Create a culture that promotes health, engages in prevention, and supports the economic and social well being of","Create a culture that promotes health, engages in prevention, and supports the economic and social well being of","Create a culture that promotes health, engages in prevention, and supports the economic and social well being of","Create a culture that promotes health, engages in prevention, and supports the economic and social well being of","Create a culture that promotes health, engages in prevention, and supports the economic and social well being of","Create a culture that promotes health, engages in prevention, and supports the economic and social well being of"
individuals and families through the provision of an array of programs and services,individuals and families through the provision of an array of programs and services,individuals and families through the provision of an array of programs and services,individuals and families through the provision of an array of programs and services,individuals and families through the provision of an array of programs and services,,,
Objective,Objective,,,,,,
"Provide Virginia Cooperative Extension services for urban horticulture, nutritional education, and youth","Provide Virginia Cooperative Extension services for urban horticulture, nutritional education, and youth","Provide Virginia Cooperative Extension services for urban horticulture, nutritional education, and youth","Provide Virginia Cooperative Extension services for urban horticulture, nutritional education, and youth","Provide Virginia Cooperative Extension services for urban horticulture, nutritional education, and youth","Provide Virginia Cooperative Extension services for urban horticulture, nutritional education, and youth","Provide Virginia Cooperative Extension services for urban horticulture, nutritional education, and youth",
development,development,,,,,,
,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2013,
Measure,Measure,,,,,,Change
,,Actual,Actual,Approved,Approved,Approved,
Increase number of Norfolk citizens,Increase number of Norfolk citizens,,,,,,
"participating in urban horticulture training,","participating in urban horticulture training,",,,,,,
,,"25,274","16,622","30,440",,"32,670","2,230"
"nutrition education, Master Gardeners","nutrition education, Master Gardeners",,,,,,
certification and 4H organization services,certification and 4H organization services,,,,,,
E XPENDITURE S UMMARY,E XPENDITURE S UMMARY,,,,,,
,,FY 2010,,FY 2011,FY 2012,FY 2012,FY 2013
,,Actual,,Actual,Approved,Approved,Approved
Personnel Services,Personnel Services,"$1,564,368","$1,645,233","$1,645,233","$1,794,349","$1,794,349","$1,800,410"
"Materials, Supplies and Repairs","Materials, Supplies and Repairs","$60,265",,"$64,325","$110,929","$110,929","$93,811"
Contractual Services,Contractual Services,"$60,421",,"$14,434","$92,313","$92,313","$92,313"
All Purpose Appropriations,All Purpose Appropriations,"$3,609,298","$3,484,891","$3,484,891","$3,540,309","$3,540,309","$2,039,201"
Total,Total,"$5,294,352","$5,208,883","$5,208,883","$5,537,900","$5,537,900","$4,025,735"
A PPROVED FY 2013 B UDGET A CTIONS,A PPROVED FY 2013 B UDGET A CTIONS,,,,,,
•,Update personnel expenditures,,FY 2013:,,"$6,061",,
,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the
,"position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and",
