Name: “Table 1 of 1 on page 97 of 214”,Name: “Table 1 of 1 on page 97 of 214”,Name: “Table 1 of 1 on page 97 of 214”,Name: “Table 1 of 1 on page 97 of 214”,Name: “Table 1 of 1 on page 97 of 214”,Name: “Table 1 of 1 on page 97 of 214”,Name: “Table 1 of 1 on page 97 of 214”,Name: “Table 1 of 1 on page 97 of 214”
Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97
,,,,,,,
,,,DepartmentofGeneralServices,DepartmentofGeneralServices,,,
,Facility,Fleet,Parking,Purchasing,,Animal,
,,,,,RealEstate,,
,Maintenance,Operations,Facilities,Agent,,Careand,
,,,,,,AAddooppttiioonn,
,,,,,,Center,
,,,,Storehouse,,,
Short-Term Objectives,Short-Term Objectives,,,,,,
•,"Ensure the safety, cleanliness and attractiveness of two million square feet of buildings and extensive parks and","Ensure the safety, cleanliness and attractiveness of two million square feet of buildings and extensive parks and","Ensure the safety, cleanliness and attractiveness of two million square feet of buildings and extensive parks and","Ensure the safety, cleanliness and attractiveness of two million square feet of buildings and extensive parks and","Ensure the safety, cleanliness and attractiveness of two million square feet of buildings and extensive parks and","Ensure the safety, cleanliness and attractiveness of two million square feet of buildings and extensive parks and","Ensure the safety, cleanliness and attractiveness of two million square feet of buildings and extensive parks and"
,school infrastructure through cost effective maintenance services,school infrastructure through cost effective maintenance services,school infrastructure through cost effective maintenance services,school infrastructure through cost effective maintenance services,,,
•,Reduce the number of contract extensions through re-engineering the purchasing process,Reduce the number of contract extensions through re-engineering the purchasing process,Reduce the number of contract extensions through re-engineering the purchasing process,Reduce the number of contract extensions through re-engineering the purchasing process,Reduce the number of contract extensions through re-engineering the purchasing process,Reduce the number of contract extensions through re-engineering the purchasing process,
•,"Reduce the amount of electricity, fuel oil, and natural gas used to heat, cool, and light city infrastructure and","Reduce the amount of electricity, fuel oil, and natural gas used to heat, cool, and light city infrastructure and","Reduce the amount of electricity, fuel oil, and natural gas used to heat, cool, and light city infrastructure and","Reduce the amount of electricity, fuel oil, and natural gas used to heat, cool, and light city infrastructure and","Reduce the amount of electricity, fuel oil, and natural gas used to heat, cool, and light city infrastructure and","Reduce the amount of electricity, fuel oil, and natural gas used to heat, cool, and light city infrastructure and","Reduce the amount of electricity, fuel oil, and natural gas used to heat, cool, and light city infrastructure and"
,properties,,,,,,
•,"Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements",,
•,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within,Re-engineer the materials management operation by maintaining the appropriate level of city supplies within
,the city's Storehouse,,,,,,
Long-Term Goals,Long-Term Goals,,,,,,
•,Enhance the efficiency of programs and services,Enhance the efficiency of programs and services,Enhance the efficiency of programs and services,,,,
•,Enhance efficient use and protection of natural resources,Enhance efficient use and protection of natural resources,Enhance efficient use and protection of natural resources,,,,
•,Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,,,,
,,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,,
Goal,Goal,,,,,,
Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,,,,
Objective,Objective,,,,,,
"Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements","Increase small, women, and minority owned business participation in city procurements",,
,,,FY 2010,FY 2011,FY 2012,FY 2013,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Establish a baseline to increase percent of,Establish a baseline to increase percent of,Establish a baseline to increase percent of,,,,,
"total annual procurements awarded to small,","total annual procurements awarded to small,","total annual procurements awarded to small,",,,,,
,,,0,0,0,0,0
women and minority owned businesses (new,women and minority owned businesses (new,women and minority owned businesses (new,,,,,
measure),measure),,,,,,
,,,,,,General Services,199
