Name: “Table 1 of 1 on page 156 of 214”,Name: “Table 1 of 1 on page 156 of 214”,Name: “Table 1 of 1 on page 156 of 214”,Name: “Table 1 of 1 on page 156 of 214”,Name: “Table 1 of 1 on page 156 of 214”,Name: “Table 1 of 1 on page 156 of 214”,Name: “Table 1 of 1 on page 156 of 214”,Name: “Table 1 of 1 on page 156 of 214”
Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156
,,,,,,,
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",1,0,1
Animal Registrar,Animal Registrar,OPS010,"$33,105","$52,920",1,0,1
Animal Services Supervisor,Animal Services Supervisor,MAP010,"$50,303","$80,416",1,0,1
Assistant Supervisor of Animal,Assistant Supervisor of Animal,,,,,,
,,OPS013,"$42,283","$67,598",2,0,2
Services,Services,,,,,,
Customer Service,Customer Service,,,,,,
,,OPS004,"$20,805","$33,263",7,0,7
Representative,Representative,,,,,,
Director of the Virginia,Director of the Virginia,,,,,,
,,EXE002,"$77,812","$124,500",1,0,1
Zoological Park,Zoological Park,,,,,,
Elephant Manager,Elephant Manager,OPS012,"$38,936","$62,242",1,0,1
Equipment Operator II,Equipment Operator II,OPS006,"$24,199","$38,684",1,0,1
Groundskeeper,Groundskeeper,OPS004,"$20,805","$33,263",2,0,2
Horticulture Technician,Horticulture Technician,OPS006,"$24,199","$38,684",4,0,4
Horticulturist,Horticulturist,MAP007,"$41,691","$66,652",1,0,1
Landscape Coordinator II,Landscape Coordinator II,OPS012,"$38,936","$62,242",1,0,1
Lead Zookeeper,Lead Zookeeper,OPS010,"$33,105","$52,920",1,0,1
Maintenance Mechanic I,Maintenance Mechanic I,OPS007,"$26,135","$41,782",2,0,2
Maintenance Mechanic II,Maintenance Mechanic II,OPS008,"$28,251","$45,161",3,0,3
Maintenance Mechanic III,Maintenance Mechanic III,OPS010,"$33,105","$52,920",1,0,1
Maintenance Supervisor II,Maintenance Supervisor II,MAP007,"$41,691","$66,652",1,0,1
Security Officer,Security Officer,OPS007,"$26,135","$41,782",5,0,5
Superintendent of the Virginia,Superintendent of the Virginia,,,,,,
,,SRM006,"$66,145","$116,415",1,0,1
Zoological Park,Zoological Park,,,,,,
Support Technician,Support Technician,OPS006,"$24,199","$38,684",1,0,1
Veterinary Technician,Veterinary Technician,OPS008,"$28,251","$45,161",1,0,1
Visitor Services Assistant,Visitor Services Assistant,OPS006,"$24,199","$38,684",1,0,1
Visitor Services Coordinator,Visitor Services Coordinator,OPS009,"$30,567","$48,870",1,0,1
Zookeeper,Zookeeper,OPS008,"$28,251","$45,161",15,1,16
Total,Total,,,,56,1,57
258,Zoological Park,,,,,,
