Name: “Table 1 of 1 on page 106 of 214”,Name: “Table 1 of 1 on page 106 of 214”,Name: “Table 1 of 1 on page 106 of 214”,Name: “Table 1 of 1 on page 106 of 214”,Name: “Table 1 of 1 on page 106 of 214”,Name: “Table 1 of 1 on page 106 of 214”,Name: “Table 1 of 1 on page 106 of 214”,Name: “Table 1 of 1 on page 106 of 214”
Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106
,,,,,,,
•,Capture savings from reorganization,Capture savings from reorganization,,FY 2013:,"($69,159)",Positions:,-1
,"Capture savings due to a reorganization of the Department of Human Resources,. The Assistant Director position","Capture savings due to a reorganization of the Department of Human Resources,. The Assistant Director position","Capture savings due to a reorganization of the Department of Human Resources,. The Assistant Director position","Capture savings due to a reorganization of the Department of Human Resources,. The Assistant Director position","Capture savings due to a reorganization of the Department of Human Resources,. The Assistant Director position","Capture savings due to a reorganization of the Department of Human Resources,. The Assistant Director position","Capture savings due to a reorganization of the Department of Human Resources,. The Assistant Director position"
,was eliminated and several other positions have been reclassified for more appropriate work titles and job,was eliminated and several other positions have been reclassified for more appropriate work titles and job,was eliminated and several other positions have been reclassified for more appropriate work titles and job,was eliminated and several other positions have been reclassified for more appropriate work titles and job,was eliminated and several other positions have been reclassified for more appropriate work titles and job,was eliminated and several other positions have been reclassified for more appropriate work titles and job,
,duties.,,,,,,
•,Reduce Blackberry distribution,Reduce Blackberry distribution,,FY 2013:,"($1,350)",Positions:,0
,Reduce excess support for cell phone costs for telecommunication devices.,Reduce excess support for cell phone costs for telecommunication devices.,Reduce excess support for cell phone costs for telecommunication devices.,Reduce excess support for cell phone costs for telecommunication devices.,,,
,Human Resources,Human Resources,,Total FY 2013:,"$547,014",Positions:,-1
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",0,1,1
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",1,0,1
Applications Analyst,Applications Analyst,ITM004,"$50,701","$81,054",1,-1,0
Assistant Director of Human,Assistant Director of Human,,,,,,
,,SRM006,"$66,145","$116,415",1,-1,0
Resources,Resources,,,,,,
Benefits Specialist,Benefits Specialist,OPS008,"$28,251","$45,161",3,-3,0
City Safety Officer,City Safety Officer,MAP009,"$47,215","$75,483",1,0,1
Director of Human Resources,Director of Human Resources,EXE003,"$87,791","$151,815",1,0,1
Disability Case Manager,Disability Case Manager,MAP007,"$41,691","$66,652",1,0,1
Employee Benefits Manager,Employee Benefits Manager,MAP011,"$53,634","$85,742",1,-1,0
Human Resources Administrator,Human Resources Administrator,MAP010,"$50,303","$80,416",0,1,1
Human Resources Analyst,Human Resources Analyst,MAP008,"$44,351","$70,899",5,3,8
"Human Resources Analyst, Senior","Human Resources Analyst, Senior",MAP010,"$50,303","$80,416",1,1,2
Human Resources Assistant I,Human Resources Assistant I,OPS007,"$26,135","$41,782",0,1,1
Human Resources Assistant II,Human Resources Assistant II,OPS008,"$28,251","$45,161",0,1,1
Human Resources Manager,Human Resources Manager,MAP012,"$57,228","$91,486",1,3,4
Human Resources Team Leader,Human Resources Team Leader,MAP010,"$50,303","$80,416",2,-2,0
Human Resources Technician,Human Resources Technician,OPS010,"$33,105","$52,290",0,5,5
Management Analyst III,Management Analyst III,MAP009,"$47,215","$75,483",1,-1,0
Organizational Development,Organizational Development,,,,,,
,,MAP008,"$44,351","$70,899",2,-2,0
Specialist,Specialist,,,,,,
Personnel Specialist,Personnel Specialist,MAP005,"$36,924","$59,029",0,1,1
Personnel Technician,Personnel Technician,OPS010,"$33,105","$52,290",1,-1,0
Safety Specialist,Safety Specialist,OPS011,"$35,886","$57,371",1,0,1
Salary and Benefits Administrator,Salary and Benefits Administrator,MAP007,"$41,691","$66,652",1,-1,0
Salary and Benefits Specialist,Salary and Benefits Specialist,OPS009,"$30,567","$48,870",3,-3,0
Software Analyst,Software Analyst,ITM002,"$44,555","$71,228",1,0,1
Support Technician,Support Technician,OPS006,"$24,199","$38,684",2,-2,0
Total,Total,,,,31,-1,30
208,Human Resources,,,,,,
