Name: “Table 1 of 1 on page 146 of 214”,Name: “Table 1 of 1 on page 146 of 214”,Name: “Table 1 of 1 on page 146 of 214”,Name: “Table 1 of 1 on page 146 of 214”,Name: “Table 1 of 1 on page 146 of 214”,Name: “Table 1 of 1 on page 146 of 214”,Name: “Table 1 of 1 on page 146 of 214”,Name: “Table 1 of 1 on page 146 of 214”
Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146
,,,,,,,
•,Support Slover Library staffing,Support Slover Library staffing,,FY 2013:,"$24,858",Positions:,1
,Provide funds for preparation of the new Slover Memorial Library scheduled to open Winter 2014. This,Provide funds for preparation of the new Slover Memorial Library scheduled to open Winter 2014. This,Provide funds for preparation of the new Slover Memorial Library scheduled to open Winter 2014. This,Provide funds for preparation of the new Slover Memorial Library scheduled to open Winter 2014. This,Provide funds for preparation of the new Slover Memorial Library scheduled to open Winter 2014. This,Provide funds for preparation of the new Slover Memorial Library scheduled to open Winter 2014. This,
,adjustment includes support beginning January 2013 for a Librarian II position as a Digital Images Project,adjustment includes support beginning January 2013 for a Librarian II position as a Digital Images Project,adjustment includes support beginning January 2013 for a Librarian II position as a Digital Images Project,adjustment includes support beginning January 2013 for a Librarian II position as a Digital Images Project,adjustment includes support beginning January 2013 for a Librarian II position as a Digital Images Project,adjustment includes support beginning January 2013 for a Librarian II position as a Digital Images Project,
,Coordinator for the Sargeant Memorial Collection.,Coordinator for the Sargeant Memorial Collection.,,,,,
•,Support rent increase,,,FY 2013:,"$26,278",Positions:,0
,Provide funding for the required increase in the lease agreement for Pineridge Center.,Provide funding for the required increase in the lease agreement for Pineridge Center.,Provide funding for the required increase in the lease agreement for Pineridge Center.,Provide funding for the required increase in the lease agreement for Pineridge Center.,Provide funding for the required increase in the lease agreement for Pineridge Center.,,
•,Support systemwide technology conversion,Support systemwide technology conversion,,FY 2013:,"$109,913",Positions:,3
,Provide funds for the systemwide conversion of eleven library branches' current collection from the traditional,Provide funds for the systemwide conversion of eleven library branches' current collection from the traditional,Provide funds for the systemwide conversion of eleven library branches' current collection from the traditional,Provide funds for the systemwide conversion of eleven library branches' current collection from the traditional,Provide funds for the systemwide conversion of eleven library branches' current collection from the traditional,Provide funds for the systemwide conversion of eleven library branches' current collection from the traditional,
,barcode to the most up-to-date Radio Frequency Identification (RFID) technology. This adjustment includes,barcode to the most up-to-date Radio Frequency Identification (RFID) technology. This adjustment includes,barcode to the most up-to-date Radio Frequency Identification (RFID) technology. This adjustment includes,barcode to the most up-to-date Radio Frequency Identification (RFID) technology. This adjustment includes,barcode to the most up-to-date Radio Frequency Identification (RFID) technology. This adjustment includes,barcode to the most up-to-date Radio Frequency Identification (RFID) technology. This adjustment includes,
,"support for a Programmer Analyst III, Librarian II, and Library Associate II. These positions and conversion efforts","support for a Programmer Analyst III, Librarian II, and Library Associate II. These positions and conversion efforts","support for a Programmer Analyst III, Librarian II, and Library Associate II. These positions and conversion efforts","support for a Programmer Analyst III, Librarian II, and Library Associate II. These positions and conversion efforts","support for a Programmer Analyst III, Librarian II, and Library Associate II. These positions and conversion efforts","support for a Programmer Analyst III, Librarian II, and Library Associate II. These positions and conversion efforts","support for a Programmer Analyst III, Librarian II, and Library Associate II. These positions and conversion efforts"
,are needed to prepare for the new Slover Memorial Library scheduled to open winter of 2014.,are needed to prepare for the new Slover Memorial Library scheduled to open winter of 2014.,are needed to prepare for the new Slover Memorial Library scheduled to open winter of 2014.,are needed to prepare for the new Slover Memorial Library scheduled to open winter of 2014.,are needed to prepare for the new Slover Memorial Library scheduled to open winter of 2014.,,
•,Reduce discretionary expenses,Reduce discretionary expenses,,FY 2013:,"($9,120)",Positions:,0
,"Reduce discretionary spending by decreasing spending for paper, pencils, pens, copier paper, ink cartridges, and","Reduce discretionary spending by decreasing spending for paper, pencils, pens, copier paper, ink cartridges, and","Reduce discretionary spending by decreasing spending for paper, pencils, pens, copier paper, ink cartridges, and","Reduce discretionary spending by decreasing spending for paper, pencils, pens, copier paper, ink cartridges, and","Reduce discretionary spending by decreasing spending for paper, pencils, pens, copier paper, ink cartridges, and","Reduce discretionary spending by decreasing spending for paper, pencils, pens, copier paper, ink cartridges, and","Reduce discretionary spending by decreasing spending for paper, pencils, pens, copier paper, ink cartridges, and"
,other miscellaneous office supplies.,other miscellaneous office supplies.,,,,,
,Libraries,Libraries,,Total FY 2013:,"$927,141",Positions:,13
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",1,0,1
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",1,0,1
Administrative Secretary,Administrative Secretary,OPS009,"$30,567","$48,870",1,0,1
Administrative Technician,Administrative Technician,OPS008,"$28,251","$45,161",1,0,1
Applications Development,Applications Development,,,,,,
,,ITM006,"$57,806","$92,410",1,0,1
Team Supervisor,Team Supervisor,,,,,,
Assistant Director of Libraries-,Assistant Director of Libraries-,,,,,,
,,SRM006,"$66,145","$116,415",1,0,1
Public Services,Public Services,,,,,,
Business Manager,Business Manager,MAP008,"$44,351","$70,899",1,0,1
City Historian,City Historian,MAP007,"$41,691","$66,652",1,0,1
Custodian,Custodian,OPS002,"$17,953","$28,703",1,0,1
Data Quality Control Analyst,Data Quality Control Analyst,OPS008,"$28,251","$45,161",1,0,1
Director of Libraries,Director of Libraries,EXE003,"$87,791","$151,815",1,0,1
Information Technology Trainer,Information Technology Trainer,ITO009,"$42,617","$68,129",1,0,1
Librarian I,Librarian I,MAP005,"$36,924","$59,029",5,0,5
Librarian II,Librarian II,MAP008,"$44,351","$70,899",14,2,16
Librarian III,Librarian III,MAP009,"$47,215","$75,483",5,0,5
Library Assistant I,Library Assistant I,OPS004,"$20,805","$33,263",1,0,1
Library Assistant II,Library Assistant II,OPS005,"$22,427","$35,853",14,4,18
248,Libraries,,,,,,
