Name: “Table 1 of 1 on page 193 of 214”,Name: “Table 1 of 1 on page 193 of 214”,Name: “Table 1 of 1 on page 193 of 214”,Name: “Table 1 of 1 on page 193 of 214”,Name: “Table 1 of 1 on page 193 of 214”,Name: “Table 1 of 1 on page 193 of 214”,Name: “Table 1 of 1 on page 193 of 214”,Name: “Table 1 of 1 on page 193 of 214”
Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193
,,,,,,,
P OSITION S UMMARY,,,,,,,
,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013,FY 2013
,,,,Approved,,Approved,Approved
,,,,Positions,,Positions,Positions
Accountant I,OPS010,"$33,105","$52,920",1,0,,1
Accounting Technician,OPS007,"$26,135","$41,782",1,0,,1
Administrative Secretary,OPS009,"$30,567","$48,870",15,0,,15
Assistant Chief Of Police,POL007,"$102,379","$118,726",3,0,,3
Chief of Police,EXE004,"$98,238","$159,681",1,0,,1
Compliance Inspector,OPS011,"$35,886","$57,371",2,0,,2
Custodian,OPS002,"$17,953","$28,703",2,0,,2
Fiscal Manager II,MAP010,"$50,303","$80,416",1,0,,1
Health & Fitness Facilitator,MAP004,"$34,788","$55,614",1,0,,1
Humane Officer I,OPS008,"$28,251","$45,161",7,0,,7
Humane Officer II,OPS011,"$35,886","$57,371",1,0,,1
Management Analyst I,MAP006,"$39,221","$62,700",3,0,,3
Management Analyst II,MAP008,"$44,351","$70,899",5,0,,5
Management Analyst III,MAP009,"$47,215","$75,483",1,0,,1
Office Assistant,OPS003,"$19,318","$30,885",1,0,,1
Operations Manager,MAP010,"$50,303","$80,416",1,0,,1
Operations Officer I,OPS006,"$24,199","$38,684",17,0,,17
Operations Officer II,OPS008,"$28,251","$45,161",13,0,,13
Photographic Laboratory,,,,,,,
,OPS008,"$28,251","$45,161",1,0,,1
Technician,,,,,,,
Police Captain,POL006,"$82,269","$95,407",11,0,,11
Police Corporal,POL003,"$48,674","$65,106",2,0,,2
Police Identification Clerk,OPS006,"$24,199","$38,684",2,0,,2
Police Lieutenant,POL005,"$71,720","$83,009",25,0,,25
Police Officer,POL002,"$40,178","$59,635",576,7,,583
Police Recruit,POL001,"$37,230","$37,230",30,0,,30
Police Sergeant,POL004,"$56,812","$76,050",109,0,,109
Program Administrator,MAP008,"$44,351","$70,899",1,0,,1
Programmer/Analyst III,ITM002,"$44,555","$71,228",1,0,,1
Programmer/Analyst IV,ITM003,"$47,518","$75,963",1,0,,1
Programmer/Analyst V,ITM005,"$54,124","$86,522",1,0,,1
Public Information Specialist II,MAP006,"$39,221","$62,700",1,0,,1
Stenographic Reporter II,OPS008,"$28,251","$45,161",3,0,,3
Support Technician,OPS006,"$24,199","$38,684",29,0,,29
Total,,,,869,7,,876
,,,,,,Police,295
