Name: “Table 1 of 1 on page 198 of 214”,Name: “Table 1 of 1 on page 198 of 214”,Name: “Table 1 of 1 on page 198 of 214”,Name: “Table 1 of 1 on page 198 of 214”,Name: “Table 1 of 1 on page 198 of 214”,Name: “Table 1 of 1 on page 198 of 214”,Name: “Table 1 of 1 on page 198 of 214”,Name: “Table 1 of 1 on page 198 of 214”
Table: 198,Table: 198,Table: 198,Table: 198,Table: 198,Table: 198,Table: 198,Table: 198
,,,,,,,
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",1,0,1
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",1,0,1
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",1,0,1
Administrative Secretary,Administrative Secretary,OPS009,"$30,567","$48,870",1,0,1
Administrative Technician,Administrative Technician,OPS008,"$28,251","$45,161",0,1,1
Assistant Fire Chief,Assistant Fire Chief,FRS010,"$86,193","$105,018",4,0,4
Assistant Fire Marshal,Assistant Fire Marshal,FRS006,"$49,300","$71,401",2,0,2
Battalion Fire Chief,Battalion Fire Chief,FRS009,"$70,940","$95,407",16,0,16
Business Manager,Business Manager,MAP008,"$44,351","$70,899",1,0,1
Chief of Fire-Rescue,Chief of Fire-Rescue,EXE004,"$98,238","$159,681",1,0,1
Deputy Chief of Fire-Rescue,Deputy Chief of Fire-Rescue,FRS011,"$90,485","$110,246",1,0,1
Fire Captain,Fire Captain,FRS008,"$56,603","$81,979",48,0,48
Fire Inspector,Fire Inspector,FRS005,"$44,486","$67,692",11,0,11
Fire Lieutenant,Fire Lieutenant,FRS006,"$49,300","$71,401",33,0,33
Fire/Paramedic Lieutenant,Fire/Paramedic Lieutenant,FRS007,"$51,799","$75,020",3,0,3
Firefighter EMT,Firefighter EMT,FRS002,"$40,361","$50,407",27,0,27
Firefighter EMT-Enhanced,Firefighter EMT-Enhanced,FRS003,"$37,478","$57,030",219,0,219
Firefighter EMT-I,Firefighter EMT-I,FRS004,"$38,514","$58,605",37,0,37
Firefighter EMT-P,Firefighter EMT-P,FRS005,"$44,486","$67,692",81,0,81
Firefighter Recruit,Firefighter Recruit,FRS001,"$35,899","$35,899",13,0,13
Management Analyst I,Management Analyst I,MAP006,"$39,221","$62,700",2,0,2
Management Analyst II,Management Analyst II,MAP008,"$44,351","$70,899",1,0,1
Media Production Specialist,Media Production Specialist,MAP007,"$41,691","$66,652",1,0,1
Operations Officer I,Operations Officer I,OPS006,"$24,199","$38,684",2,0,2
Staff Technician I,Staff Technician I,OPS008,"$28,251","$45,161",1,0,1
Support Technician,Support Technician,OPS006,"$24,199","$38,684",2,0,2
Sub-Total,Sub-Total,,,,510,1,511
Over Hires,Over Hires,,,,7,0,7
Total,Total,,,,517,1,518
300,Fire-Rescue,,,,,,
