Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”,Name: “Table 1 of 1 on page 11 of 214”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,
C ITY A UDITOR,C ITY A UDITOR,C ITY A UDITOR,C ITY A UDITOR,C ITY A UDITOR,,,,,,,
MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,,,,,,,
"The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting","The City Auditor provides independent professional internal auditing, management advisory, and consulting"
"services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,","services to city departments, offices, and agencies to promote: full financial accountability, economy, efficiency,"
"and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal","and effectiveness of city government operations and programs; compliance with applicable city, state and federal"
laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,laws and regulations; and a strong internal control and risk management system.,,,
D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,,,,,,,
"The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management","The office of the City Auditor provides professional audit and related inquiry, investigation and management"
advisory services. Basic services include:,advisory services. Basic services include:,advisory services. Basic services include:,advisory services. Basic services include:,advisory services. Basic services include:,,,,,,,
•,"Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,","Assessing the reliability and integrity of financial and operating information and the means used to identify,"
,"measure, classify and report such information","measure, classify and report such information","measure, classify and report such information","measure, classify and report such information","measure, classify and report such information",,,,,,
•,"Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws and"
,regulations which could have a significant impact on the City of Norfolk,regulations which could have a significant impact on the City of Norfolk,regulations which could have a significant impact on the City of Norfolk,regulations which could have a significant impact on the City of Norfolk,regulations which could have a significant impact on the City of Norfolk,regulations which could have a significant impact on the City of Norfolk,regulations which could have a significant impact on the City of Norfolk,regulations which could have a significant impact on the City of Norfolk,,,
•,"Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets",
•,Appraising the economy and efficiency with which resources are applied,Appraising the economy and efficiency with which resources are applied,Appraising the economy and efficiency with which resources are applied,Appraising the economy and efficiency with which resources are applied,Appraising the economy and efficiency with which resources are applied,Appraising the economy and efficiency with which resources are applied,Appraising the economy and efficiency with which resources are applied,Appraising the economy and efficiency with which resources are applied,,,
•,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the,Examining operations or programs to determine if results are consistent with established goals and whether the
,objectives are being carried out as planned,objectives are being carried out as planned,objectives are being carried out as planned,objectives are being carried out as planned,objectives are being carried out as planned,,,,,,
•,"Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected","Supporting a fraud, waste and abuse hotline to receive reports from citizens and employees of suspected"
,"unlawful and wasteful acts committed by city employees, vendors, etc.","unlawful and wasteful acts committed by city employees, vendors, etc.","unlawful and wasteful acts committed by city employees, vendors, etc.","unlawful and wasteful acts committed by city employees, vendors, etc.","unlawful and wasteful acts committed by city employees, vendors, etc.","unlawful and wasteful acts committed by city employees, vendors, etc.","unlawful and wasteful acts committed by city employees, vendors, etc.","unlawful and wasteful acts committed by city employees, vendors, etc.",,,
•,"Conducting investigations and inquires of fraud, waste and abuse","Conducting investigations and inquires of fraud, waste and abuse","Conducting investigations and inquires of fraud, waste and abuse","Conducting investigations and inquires of fraud, waste and abuse","Conducting investigations and inquires of fraud, waste and abuse","Conducting investigations and inquires of fraud, waste and abuse","Conducting investigations and inquires of fraud, waste and abuse",,,,
•,Evaluating effectiveness of risk management,Evaluating effectiveness of risk management,Evaluating effectiveness of risk management,Evaluating effectiveness of risk management,Evaluating effectiveness of risk management,,,,,,
•,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of,Providing oversight of external auditors on the city's annual financial audit and single audit and the audits of
,Norfolk,Public,"Schools,",Community,Services,"Board,",Economic,Development,"Authority,",and,Employee
,Retirement System,Retirement System,Retirement System,,,,,,,,
,,,,,,,,,,City Auditor,113
