Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”,Name: “Table 1 of 1 on page 45 of 214”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,,
•,Convert special project positions to permanent,Convert special project positions to permanent,Convert special project positions to permanent,FY 2013:,,$0,Positions:,4
,Convert existing positions from special project to permanent status. These positions are currently filled and the,Convert existing positions from special project to permanent status. These positions are currently filled and the,Convert existing positions from special project to permanent status. These positions are currently filled and the,Convert existing positions from special project to permanent status. These positions are currently filled and the,Convert existing positions from special project to permanent status. These positions are currently filled and the,Convert existing positions from special project to permanent status. These positions are currently filled and the,Convert existing positions from special project to permanent status. These positions are currently filled and the,Convert existing positions from special project to permanent status. These positions are currently filled and the
,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,
,budget.,,,,,,,
•,Remove customer and business tax portal funds,Remove customer and business tax portal funds,Remove customer and business tax portal funds,FY 2013:,"($47,500)","($47,500)",Positions:,0
,Remove one-time funds provided in FY 2012 to implement the customer and business tax portal.,Remove one-time funds provided in FY 2012 to implement the customer and business tax portal.,Remove one-time funds provided in FY 2012 to implement the customer and business tax portal.,Remove one-time funds provided in FY 2012 to implement the customer and business tax portal.,Remove one-time funds provided in FY 2012 to implement the customer and business tax portal.,Remove one-time funds provided in FY 2012 to implement the customer and business tax portal.,Remove one-time funds provided in FY 2012 to implement the customer and business tax portal.,
,Commissioner of the Revenue,Commissioner of the Revenue,,Total FY 2013:,"$94,100","$94,100",Positions:,4
P OSITION S UMMARY,P OSITION S UMMARY,,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,Change,FY 2013
,,,,,Approved,,,Approved
,,,,,Positions,,,Positions
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",5,,2,7
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",2,,0,2
Administrative Technician,Administrative Technician,OPS008,"$28,251","$45,161",2,,0,2
Auditor I,Auditor I,MAP007,"$41,691","$66,652",2,,0,2
Auditor II,Auditor II,MAP009,"$47,215","$75,483",2,,0,2
Auditor Supervisor,Auditor Supervisor,MAP010,"$50,303","$80,416",1,,0,1
Business Manager,Business Manager,MAP008,"$44,351","$70,899",1,,1,2
Chief Deputy I COR,Chief Deputy I COR,MAP009,"$47,215","$75,483",2,,0,2
Chief Deputy II COR,Chief Deputy II COR,MAP012,"$57,228","$91,486",2,,0,2
Collection Coordinator,Collection Coordinator,MAP005,"$36,924","$59,029",1,,0,1
Commissioner of the Revenue,Commissioner of the Revenue,COF012,"$84,146","$133,792",1,,0,1
Income Tax Auditor,Income Tax Auditor,OPS010,"$33,105","$52,920",3,,0,3
License Inspector I,License Inspector I,OPS009,"$30,567","$48,870",2,,1,3
License Inspector II,License Inspector II,OPS010,"$33,105","$52,920",8,,0,8
Microcomputer Systems,Microcomputer Systems,,,,,,,
,,ITO005,"$33,346","$53,307",2,,0,2
Analyst,Analyst,,,,,,,
Programmer/Analyst II,Programmer/Analyst II,ITM001,"$41,796","$66,819",1,,0,1
Programmer/Analyst III,Programmer/Analyst III,ITM002,"$44,555","$71,228",1,,0,1
Programmer/Analyst V,Programmer/Analyst V,ITM005,"$54,124","$86,522",1,,0,1
Total,Total,,,,39,,4,43
Personnel count includes the reclassification of special project positions to permanent status. The positions are,Personnel count includes the reclassification of special project positions to permanent status. The positions are,Personnel count includes the reclassification of special project positions to permanent status. The positions are,Personnel count includes the reclassification of special project positions to permanent status. The positions are,Personnel count includes the reclassification of special project positions to permanent status. The positions are,Personnel count includes the reclassification of special project positions to permanent status. The positions are,Personnel count includes the reclassification of special project positions to permanent status. The positions are,Personnel count includes the reclassification of special project positions to permanent status. The positions are,
currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a,currently filled and are part of a citywide initiative to more accurately reflect existing long-term positions within a
department's budget. Only permanent city positions are reflected in the Position Summary.,department's budget. Only permanent city positions are reflected in the Position Summary.,department's budget. Only permanent city positions are reflected in the Position Summary.,department's budget. Only permanent city positions are reflected in the Position Summary.,department's budget. Only permanent city positions are reflected in the Position Summary.,department's budget. Only permanent city positions are reflected in the Position Summary.,department's budget. Only permanent city positions are reflected in the Position Summary.,,
,,,,,Commissioner of the Revenue,Commissioner of the Revenue,Commissioner of the Revenue,147
