Name: “Table 1 of 1 on page 81 of 214”,Name: “Table 1 of 1 on page 81 of 214”,Name: “Table 1 of 1 on page 81 of 214”,Name: “Table 1 of 1 on page 81 of 214”,Name: “Table 1 of 1 on page 81 of 214”,Name: “Table 1 of 1 on page 81 of 214”,Name: “Table 1 of 1 on page 81 of 214”,Name: “Table 1 of 1 on page 81 of 214”
Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81
,,,,,,,
P OSITION S UMMARY,,,,,,,
,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013,FY 2013
,,,,Approved,,Approved,Approved
,,,,Positions,,Positions,Positions
Deputy Registrar / Elections,,,,,,,
,MAP006,"$39,221","$62,700",1,0,,1
Administrator,,,,,,,
Election Assistant I,OPS003,"$19,318","$30,885",1,0,,1
Election Assistant II,OPS005,"$22,427","$35,853",1,0,,1
Election Assistant III,OPS006,"$24,199","$38,684",1,0,,1
Registrar/Elections,,,,,,,
,*,*,*,1,0,,1
Administrator,,,,,,,
Senior Election Assistant,OPS008,"$28,251","$45,161",1,0,,1
Total,,,,6,0,,6
*No pay grade or minimum and maximum salary range per compensation plan.,*No pay grade or minimum and maximum salary range per compensation plan.,*No pay grade or minimum and maximum salary range per compensation plan.,*No pay grade or minimum and maximum salary range per compensation plan.,,,,
,,,,,,Elections,183
