Name: “Table 1 of 1 on page 147 of 214”,Name: “Table 1 of 1 on page 147 of 214”,Name: “Table 1 of 1 on page 147 of 214”,Name: “Table 1 of 1 on page 147 of 214”,Name: “Table 1 of 1 on page 147 of 214”,Name: “Table 1 of 1 on page 147 of 214”,Name: “Table 1 of 1 on page 147 of 214”,Name: “Table 1 of 1 on page 147 of 214”
Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147
,,,,,,,
P OSITION S UMMARY,,,,,,,
,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013,FY 2013
,,,,Approved,,Approved,Approved
,,,,Positions,,Positions,Positions
Library Associate I,OPS009,"$30,567","$48,870",14,5,,19
Library Associate II,OPS010,"$33,105","$52,920",6,1,,7
Microcomputer Systems,,,,,,,
,ITO005,"$33,346","$53,307",1,0,,1
Analyst,,,,,,,
Office Assistant,OPS003,"$19,318","$30,885",1,0,,1
Programmer Analyst III,ITM002,"$44,555","$71,228",0,1,,1
Public Information Specialist I,MAP004,"$34,788","$55,614",1,0,,1
Public Relations Specialist,MAP007,"$41,691","$66,652",1,0,,1
Public Services Coordinator I,MAP006,"$39,221","$62,700",1,0,,1
Senior Microcomputer Systems,,,,,,,
,ITM001,"$41,796","$66,819",2,0,,2
Analyst,,,,,,,
Total,,,,78,13,,91
,,,,,,Libraries,249
