Name: “Table 1 of 1 on page 25 of 214”,Name: “Table 1 of 1 on page 25 of 214”,Name: “Table 1 of 1 on page 25 of 214”,Name: “Table 1 of 1 on page 25 of 214”,Name: “Table 1 of 1 on page 25 of 214”,Name: “Table 1 of 1 on page 25 of 214”,Name: “Table 1 of 1 on page 25 of 214”,Name: “Table 1 of 1 on page 25 of 214”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,
,,,ŽŵŵƵŶŝĐĂƚŝŽŶƐ ĂŶĚ,ŽŵŵƵŶŝĐĂƚŝŽŶƐ ĂŶĚ,,,
,,,WƵďůŝĐ /ŶĨŽƌŵĂƚŝŽŶ,WƵďůŝĐ /ŶĨŽƌŵĂƚŝŽŶ,,,
,WƵďůŝĐĂƚŝŽŶƐ ĂŶĚ,/ŶƚĞƌͲ,,,ƌŽĂĚĐĂƐƚ,,
,,,ŽŵŵƵŶŝƚLJ,WƵďůŝĐ,,&ƌĞĞĚŽŵ ŽĨ,
,ŝƌĞĐƚ,'ŽǀĞƌŶŵĞŶƚĂů,,,^ĞƌǀŝĐĞƐ ĂŶĚ,,
,,,ŶƌŝĐŚŵĞŶƚ,ZĞůĂƚŝŽŶƐ,,/ŶĨŽƌŵĂƚŝŽŶ,
,ŽŵŵƵŶŝĐĂƚŝŽŶƐ,ZĞůĂƚŝŽŶƐ,,,WƌŽŐƌĂŵŵŝŶŐ,,
Short-Term Objectives,Short-Term Objectives,,,,,,
•,"Optimize use of social media and web tools to communicate to residents information on city services, and to","Optimize use of social media and web tools to communicate to residents information on city services, and to","Optimize use of social media and web tools to communicate to residents information on city services, and to","Optimize use of social media and web tools to communicate to residents information on city services, and to","Optimize use of social media and web tools to communicate to residents information on city services, and to","Optimize use of social media and web tools to communicate to residents information on city services, and to","Optimize use of social media and web tools to communicate to residents information on city services, and to"
,receive feedback from them on city services,receive feedback from them on city services,,,,,
•,Promote the positives of Norfolk's neighborhoods,Promote the positives of Norfolk's neighborhoods,Promote the positives of Norfolk's neighborhoods,,,,
•,"Connect residents and business to training, programs services, and resources to meet individual and community","Connect residents and business to training, programs services, and resources to meet individual and community","Connect residents and business to training, programs services, and resources to meet individual and community","Connect residents and business to training, programs services, and resources to meet individual and community","Connect residents and business to training, programs services, and resources to meet individual and community","Connect residents and business to training, programs services, and resources to meet individual and community","Connect residents and business to training, programs services, and resources to meet individual and community"
,growth and sustainability,growth and sustainability,,,,,
Long-Term Goals,Long-Term Goals,,,,,,
•,"Increase public awareness and access to information, programs and services","Increase public awareness and access to information, programs and services","Increase public awareness and access to information, programs and services","Increase public awareness and access to information, programs and services","Increase public awareness and access to information, programs and services",,
•,Enhance the vitality and marketability of Norfolk's neighborhoods,Enhance the vitality and marketability of Norfolk's neighborhoods,Enhance the vitality and marketability of Norfolk's neighborhoods,Enhance the vitality and marketability of Norfolk's neighborhoods,,,
,,"Priority: Safe, Healthy and Inclusive Communities","Priority: Safe, Healthy and Inclusive Communities","Priority: Safe, Healthy and Inclusive Communities","Priority: Safe, Healthy and Inclusive Communities",,
Goal,,,,,,,
Enhance the vitality and marketability of Norfolk's neighborhoods,Enhance the vitality and marketability of Norfolk's neighborhoods,Enhance the vitality and marketability of Norfolk's neighborhoods,Enhance the vitality and marketability of Norfolk's neighborhoods,Enhance the vitality and marketability of Norfolk's neighborhoods,,,
Objective,,,,,,,
Promote the positives of Norfolk's neighborhoods,Promote the positives of Norfolk's neighborhoods,Promote the positives of Norfolk's neighborhoods,,,,,
,,,FY 2010,FY 2011,FY 2012,FY 2013,
Measure,,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Increase City Spotlights posted,Increase City Spotlights posted,Increase City Spotlights posted,,,,,
,,,0,0,100,230,130
to Norfolk.gov site (new measure),to Norfolk.gov site (new measure),to Norfolk.gov site (new measure),,,,,
Increase articles and promotional materials,Increase articles and promotional materials,Increase articles and promotional materials,,,,,
featuring Norfolk's neighborhoods and,featuring Norfolk's neighborhoods and,featuring Norfolk's neighborhoods and,0,0,10,20,10
residents (new measure),residents (new measure),,,,,,
,,,,Communications and Public Information,Communications and Public Information,Communications and Public Information,127
