Name: “Table 1 of 1 on page 184 of 214”,Name: “Table 1 of 1 on page 184 of 214”,Name: “Table 1 of 1 on page 184 of 214”,Name: “Table 1 of 1 on page 184 of 214”,Name: “Table 1 of 1 on page 184 of 214”,Name: “Table 1 of 1 on page 184 of 214”,Name: “Table 1 of 1 on page 184 of 214”,Name: “Table 1 of 1 on page 184 of 214”
Table: 184,Table: 184,Table: 184,Table: 184,Table: 184,Table: 184,Table: 184,Table: 184
,,,,,,,
•,Rightsize budget for Human Services,Rightsize budget for Human Services,,FY 2013:,"($1,146,280)",Positions:,0
,Adjust the department's budget based on actual expenditure and revenue history. The budget will be,Adjust the department's budget based on actual expenditure and revenue history. The budget will be,Adjust the department's budget based on actual expenditure and revenue history. The budget will be,Adjust the department's budget based on actual expenditure and revenue history. The budget will be,Adjust the department's budget based on actual expenditure and revenue history. The budget will be,Adjust the department's budget based on actual expenditure and revenue history. The budget will be,
,"monitored, and support will be provided as needed to maintain current service levels. No impact to services is","monitored, and support will be provided as needed to maintain current service levels. No impact to services is","monitored, and support will be provided as needed to maintain current service levels. No impact to services is","monitored, and support will be provided as needed to maintain current service levels. No impact to services is","monitored, and support will be provided as needed to maintain current service levels. No impact to services is","monitored, and support will be provided as needed to maintain current service levels. No impact to services is",
,anticipated from this action.,,,,,,
•,Eliminate child daycare pass through funds,Eliminate child daycare pass through funds,,FY 2013:,"($7,480,000)",Positions:,0
,"Eliminate funds for child daycare pass through expenditures. This adjustment reflects a change in state policy,","Eliminate funds for child daycare pass through expenditures. This adjustment reflects a change in state policy,","Eliminate funds for child daycare pass through expenditures. This adjustment reflects a change in state policy,","Eliminate funds for child daycare pass through expenditures. This adjustment reflects a change in state policy,","Eliminate funds for child daycare pass through expenditures. This adjustment reflects a change in state policy,","Eliminate funds for child daycare pass through expenditures. This adjustment reflects a change in state policy,",
,allowing the state to now pay service providers directly rather than passing the funds through the city. No,allowing the state to now pay service providers directly rather than passing the funds through the city. No,allowing the state to now pay service providers directly rather than passing the funds through the city. No,allowing the state to now pay service providers directly rather than passing the funds through the city. No,allowing the state to now pay service providers directly rather than passing the funds through the city. No,allowing the state to now pay service providers directly rather than passing the funds through the city. No,
,impact to services is anticipated from this action.,impact to services is anticipated from this action.,,,,,
,Human Services,Human Services,,Total FY 2013:,"($9,505,660)",Positions:,17
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",1,0,1
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",9,0,9
Administrative Assistant II,Administrative Assistant II,MAP003,"$32,801","$52,435",1,0,1
Administrative Secretary,Administrative Secretary,OPS009,"$30,567","$48,870",1,0,1
Administrative Technician,Administrative Technician,OPS008,"$28,251","$45,161",9,0,9
Applications Development,Applications Development,,,,,,
,,ITM006,"$57,806","$92,410",1,0,1
Team Supervisor,Team Supervisor,,,,,,
Assistant Director of Human,Assistant Director of Human,,,,,,
,,SRM006,"$66,145","$116,415",1,0,1
Services,Services,,,,,,
Business Manager,Business Manager,MAP008,"$44,351","$70,899",1,1,2
Case Management Specialist,Case Management Specialist,OPS011,"$35,886","$57,371",20,0,20
Child Counselor II,Child Counselor II,OPS010,"$33,105","$52,920",4,0,4
Child Counselor III,Child Counselor III,OPS012,"$38,936","$62,242",7,0,7
Community Assessment Team,Community Assessment Team,,,,,,
,,MAP006,"$39,221","$62,700",0,1,1
Coordinator,Coordinator,,,,,,
Cook,Cook,OPS003,"$19,318","$30,885",5,0,5
Custodian,Custodian,OPS002,"$17,953","$28,703",3,0,3
Data Processing Assistant I,Data Processing Assistant I,OPS004,"$20,805","$33,263",2,0,2
Data Quality Control Manager,Data Quality Control Manager,OPS010,"$33,105","$52,920",1,0,1
Detention Center Assistant,Detention Center Assistant,,,,,,
,,MAP009,"$47,215","$75,483",2,0,2
Superintendent,Superintendent,,,,,,
Detention Center,Detention Center,,,,,,
,,SRM004,"$58,509","$102,977",1,0,1
Superintendent,Superintendent,,,,,,
Detention Center Supervisor,Detention Center Supervisor,MAP007,"$41,691","$66,652",8,0,8
Director of Human Services,Director of Human Services,EXE003,"$87,791","$151,815",1,0,1
Eligibility Supervisor,Eligibility Supervisor,MAP007,"$41,691","$66,652",22,0,22
Eligibility Worker,Eligibility Worker,OPS009,"$30,567","$48,870",125,1,126
Employment Services Worker II,Employment Services Worker II,OPS012,"$38,936","$62,242",3,0,3
Enterprise Controller,Enterprise Controller,MAP012,"$57,228","$91,486",1,0,1
Facilities Manager,Facilities Manager,MAP008,"$44,351","$70,899",1,0,1
286,Human Services,,,,,,
