Name: “Table 1 of 1 on page 95 of 214”,Name: “Table 1 of 1 on page 95 of 214”,Name: “Table 1 of 1 on page 95 of 214”,Name: “Table 1 of 1 on page 95 of 214”,Name: “Table 1 of 1 on page 95 of 214”,Name: “Table 1 of 1 on page 95 of 214”,Name: “Table 1 of 1 on page 95 of 214”,Name: “Table 1 of 1 on page 95 of 214”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,,,
P OSITION S UMMARY,,,,,,,
,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013,FY 2013
,,,,Approved,,Approved,Approved
,,,,Positions,,Positions,Positions
Assistant Director of Finance /,,,,,,,
,SRM006,"$66,145","$116,415",1,0,,1
City Controller,,,,,,,
Cash & Investments Analyst,MAP008,"$44,351","$70,899",1,0,,1
Collection Coordinator,MAP005,"$36,924","$59,029",1,0,,1
Debt Management Specialist,MAP010,"$50,303","$80,416",1,0,,1
Debt Manager,MAP012,"$57,228","$91,486",1,0,,1
Director of Finance,EXE003,"$87,791","$151,815",1,0,,1
Executive Manager of,,,,,,,
,SRM006,"$66,145","$116,415",1,0,,1
Retirement Systems,,,,,,,
Financial Operations Manager,MAP011,"$53,634","$85,742",1,0,,1
Fiscal Systems Analyst,ITM004,"$50,701","$81,054",2,0,,2
Fiscal Systems Manager,ITM006,"$57,806","$92,410",1,0,,1
Management Analyst II,MAP008,"$44,351","$70,899",1,0,,1
Management Analyst III,MAP009,"$47,215","$75,483",1,0,,1
Payroll Accountant,MAP006,"$39,221","$62,700",1,0,,1
Payroll Manager,MAP010,"$50,303","$80,416",1,0,,1
Risk Manager,MAP011,"$53,634","$85,742",1,0,,1
Support Technician,OPS006,"$24,199","$38,684",2,0,,2
Total,,,,34,0,,34
,,,,,,Finance,197
