Name: “Table 1 of 1 on page 3 of 214”,Name: “Table 1 of 1 on page 3 of 214”,Name: “Table 1 of 1 on page 3 of 214”,Name: “Table 1 of 1 on page 3 of 214”,Name: “Table 1 of 1 on page 3 of 214”,Name: “Table 1 of 1 on page 3 of 214”,Name: “Table 1 of 1 on page 3 of 214”,Name: “Table 1 of 1 on page 3 of 214”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,
C ITY COUNCIL,C ITY COUNCIL,C ITY COUNCIL,,,,,
MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,,,,,
"The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation","The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation","The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation","The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation","The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation","The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation","The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation","The City Council provides policy guidance through the adoption of ordinances, levying of taxes, and appropriation"
of funds.,The City Council exercises all powers conferred by the Commonwealth of Virginia and the Norfolk City,The City Council exercises all powers conferred by the Commonwealth of Virginia and the Norfolk City,The City Council exercises all powers conferred by the Commonwealth of Virginia and the Norfolk City,The City Council exercises all powers conferred by the Commonwealth of Virginia and the Norfolk City,The City Council exercises all powers conferred by the Commonwealth of Virginia and the Norfolk City,The City Council exercises all powers conferred by the Commonwealth of Virginia and the Norfolk City,The City Council exercises all powers conferred by the Commonwealth of Virginia and the Norfolk City
Charter.,,,,,,,
,,,CityCouncil,,,,
,CityAttorney,CityManager,CityClerk,CityAuditor,CityAuditor,CityAssessor,
,,,RecordsManagement,,,,
E XPENDITURE S UMMARY,E XPENDITURE S UMMARY,E XPENDITURE S UMMARY,,,,,
,,,FY 2010,FY 2010,FY 2011,FY 2012,FY 2013
,,,Actual,Actual,Actual,Approved,Approved
Personnel Services,Personnel Services,,"$293,190","$293,190","$299,883","$317,580","$322,631"
"Materials, Supplies and Repairs","Materials, Supplies and Repairs","Materials, Supplies and Repairs",,$0,$425,$0,$0
Contractual Services,Contractual Services,,"$45,436","$45,436","$42,302","$45,520","$45,520"
Total,,,"$338,626","$338,626","$342,610","$363,100","$368,151"
A PPROVED FY 2013 B UDGET A CTIONS,A PPROVED FY 2013 B UDGET A CTIONS,A PPROVED FY 2013 B UDGET A CTIONS,,,,,
•,Update personnel expenditures,Update personnel expenditures,,,FY 2013:,"$5,051",
