Name: “Table 1 of 1 on page 27 of 214”,Name: “Table 1 of 1 on page 27 of 214”,Name: “Table 1 of 1 on page 27 of 214”,Name: “Table 1 of 1 on page 27 of 214”,Name: “Table 1 of 1 on page 27 of 214”,Name: “Table 1 of 1 on page 27 of 214”,Name: “Table 1 of 1 on page 27 of 214”,Name: “Table 1 of 1 on page 27 of 214”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,
E XPENDITURE S UMMARY,E XPENDITURE S UMMARY,,,,,,
,,FY 2010,FY 2011,FY 2012,FY 2012,FY 2013,FY 2013
,,Actual,Actual,Approved,Approved,Approved,Approved
Personnel Services,,"$1,049,095","$999,335","$952,700","$952,700","$1,564,206","$1,564,206"
"Materials, Supplies and Repairs","Materials, Supplies and Repairs","$50,988","$18,175","$41,361","$41,361","$68,257","$68,257"
Contractual Services,,"$557,279","$493,397","$745,914","$745,914","$715,386","$715,386"
Equipment,,"$10,000","$15,225","$17,825","$17,825","$18,825","$18,825"
All Purpose Appropriations,,$0,$0,,$0,"$100,000","$100,000"
Total,,"$1,667,362","$1,526,132","$1,757,800","$1,757,800","$2,466,674","$2,466,674"
E STIMATED APPROPRIATION FOR S PECIAL REVENUE S UMMARY,E STIMATED APPROPRIATION FOR S PECIAL REVENUE S UMMARY,E STIMATED APPROPRIATION FOR S PECIAL REVENUE S UMMARY,E STIMATED APPROPRIATION FOR S PECIAL REVENUE S UMMARY,,,,
"The following special revenue summary presents additional funds received by the department through grants,","The following special revenue summary presents additional funds received by the department through grants,","The following special revenue summary presents additional funds received by the department through grants,","The following special revenue summary presents additional funds received by the department through grants,","The following special revenue summary presents additional funds received by the department through grants,","The following special revenue summary presents additional funds received by the department through grants,","The following special revenue summary presents additional funds received by the department through grants,","The following special revenue summary presents additional funds received by the department through grants,"
"donations, and dedicated state and federal appropriations.","donations, and dedicated state and federal appropriations.",These funds are generally multi-year appropriations,These funds are generally multi-year appropriations,These funds are generally multi-year appropriations,These funds are generally multi-year appropriations,These funds are generally multi-year appropriations,These funds are generally multi-year appropriations
and can continue from one fiscal year to another.,and can continue from one fiscal year to another.,These monies are dedicated to specific activities and/or,These monies are dedicated to specific activities and/or,These monies are dedicated to specific activities and/or,These monies are dedicated to specific activities and/or,These monies are dedicated to specific activities and/or,These monies are dedicated to specific activities and/or
functions and are nontransferable. Grants are not guaranteed annually.,functions and are nontransferable. Grants are not guaranteed annually.,functions and are nontransferable. Grants are not guaranteed annually.,,,,,
,Dollars,Source,,,,Pos #,
,Special Revenue,,,,,,
,$475,NPHS Scholarship Program,NPHS Scholarship Program,,,0,
,"(i.e.: Grants, Donations)",,,,,,
A PPROVED FY 2013 B UDGET A CTIONS,A PPROVED FY 2013 B UDGET A CTIONS,,,,,,
•,Update personnel expenditures,FY 2013:,"$590,053","$590,053",,,
,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,
,"position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and",
,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.
,"The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,"
,"Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,",
,"the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate","the approved budget assumes a VRS rate increase from 8.95 percent to 11.74 percent, a group life insurance rate"
,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,increase from 0.34 percent to 1.19 percent and an increase in health care of 7.7 percent. These are routine,
,actions which occur at the beginning of each budget cycle.,,,,,,
•,Convert special project position to permanent,FY 2013:,,$0,Positions:,Positions:,1
,Convert existing position from special project to permanent status. This position is currently filled and the,Convert existing position from special project to permanent status. This position is currently filled and the,Convert existing position from special project to permanent status. This position is currently filled and the,Convert existing position from special project to permanent status. This position is currently filled and the,Convert existing position from special project to permanent status. This position is currently filled and the,Convert existing position from special project to permanent status. This position is currently filled and the,
,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,conversion is part of a citywide initiative to more accurately reflect existing positions within a department's,
,budget.,,,,,,
•,Transfer IMPACT Norfolk to IT,FY 2013:,"($19,993)","($19,993)",Positions:,Positions:,0
,Technical adjustment to transfer the nonpersonnel support associated with Norfolk Cares (call center) from the,Technical adjustment to transfer the nonpersonnel support associated with Norfolk Cares (call center) from the,Technical adjustment to transfer the nonpersonnel support associated with Norfolk Cares (call center) from the,Technical adjustment to transfer the nonpersonnel support associated with Norfolk Cares (call center) from the,Technical adjustment to transfer the nonpersonnel support associated with Norfolk Cares (call center) from the,Technical adjustment to transfer the nonpersonnel support associated with Norfolk Cares (call center) from the,
,Office of Communications to the Department of Information Technology (IT). These funds were inadvertently,Office of Communications to the Department of Information Technology (IT). These funds were inadvertently,Office of Communications to the Department of Information Technology (IT). These funds were inadvertently,Office of Communications to the Department of Information Technology (IT). These funds were inadvertently,Office of Communications to the Department of Information Technology (IT). These funds were inadvertently,Office of Communications to the Department of Information Technology (IT). These funds were inadvertently,
