Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”,Name: “Table 1 of 1 on page 94 of 214”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,
EXPENDITURE S UMMARY,EXPENDITURE S UMMARY,,,,,,,
,,,FY 2010,FY 2011,FY 2011,,FY 2012,FY 2013
,,,Actual,,Actual,Approved,Approved,Approved
Personnel Services,Personnel Services,,"$7,558,955","$3,042,159","$3,042,159","$2,610,348","$2,610,348","$2,407,260"
"Materials, Supplies and Repairs","Materials, Supplies and Repairs",,"$5,376,894",,"$72,644",,"$68,199","$68,199"
Contractual Services,Contractual Services,,"$5,580,232","$538,406","$538,406","$518,153","$518,153","$520,553"
Equipment,Equipment,,"$3,604",,"$3,445",,"$1,600","$1,600"
All Purpose Appropriations,All Purpose Appropriations,,"$74,588","$299,379","$299,379",,$0,$0
Total,Total,,"$18,594,273","$3,956,033","$3,956,033","$3,198,300","$3,198,300","$2,997,612"
APPROVED FY 2013 BUDGET ACTIONS,APPROVED FY 2013 BUDGET ACTIONS,APPROVED FY 2013 BUDGET ACTIONS,,,,,,
•,Update personnel expenditures,Update personnel expenditures,,FY 2013:,"($203,088)","($203,088)",,
,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the
,"position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and"
,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.
,"The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,"
,"Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,","Virginia Retirement System (VRS) as appropriate, group life insurance and health care premiums. For FY 2013,"
