Name: “Table 1 of 1 on page 178 of 214”,Name: “Table 1 of 1 on page 178 of 214”,Name: “Table 1 of 1 on page 178 of 214”,Name: “Table 1 of 1 on page 178 of 214”,Name: “Table 1 of 1 on page 178 of 214”,Name: “Table 1 of 1 on page 178 of 214”,Name: “Table 1 of 1 on page 178 of 214”,Name: “Table 1 of 1 on page 178 of 214”
Table: 178,Table: 178,Table: 178,Table: 178,Table: 178,Table: 178,Table: 178,Table: 178
,,,,,,,
•,Reduce funding for Bulk Refuse Program,Reduce funding for Bulk Refuse Program,,FY 2013:,"($2,398)",Positions:,0
,Reduce funding for bulk refuse monitoring due to lower than anticipated costs and historical expenditures.,Reduce funding for bulk refuse monitoring due to lower than anticipated costs and historical expenditures.,Reduce funding for bulk refuse monitoring due to lower than anticipated costs and historical expenditures.,Reduce funding for bulk refuse monitoring due to lower than anticipated costs and historical expenditures.,Reduce funding for bulk refuse monitoring due to lower than anticipated costs and historical expenditures.,Reduce funding for bulk refuse monitoring due to lower than anticipated costs and historical expenditures.,
,There will be no impact to services.,There will be no impact to services.,,,,,
,Public Health,Public Health,,Total FY 2013:,"($1,512,165)",Positions:,0
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Environmental Health Assistant I,Environmental Health Assistant I,OPS004,"$20,805","$33,263",4,0,4
Environmental Health Assistant II,Environmental Health Assistant II,OPS005,"$22,427","$35,853",1,0,1
Licensed Practical Nurse,Licensed Practical Nurse,OPS007,"$26,135","$41,782",1,0,1
Public Health Aide,Public Health Aide,OPS004,"$20,805","$33,263",4,0,4
Refuse Inspector,Refuse Inspector,OPS009,"$30,567","$48,870",2,0,2
Registered Nurse,Registered Nurse,MAP005,"$36,924","$59,029",22,0,22
Total,Total,,,,34,0,34
280,Public Health,,,,,,
