Name: “Table 1 of 1 on page 52 of 70”,Name: “Table 1 of 1 on page 52 of 70”,Name: “Table 1 of 1 on page 52 of 70”,Name: “Table 1 of 1 on page 52 of 70”,Name: “Table 1 of 1 on page 52 of 70”,Name: “Table 1 of 1 on page 52 of 70”,Name: “Table 1 of 1 on page 52 of 70”,Name: “Table 1 of 1 on page 52 of 70”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 00038,Title: Case Management System,Title: Case Management System,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Court Street,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"104,260",0,"104,260",0,0,0,0,0
,,,Description and Scope,,,,
Case Management System,,,,,,,
,,,Rationale,,,,
The Virginia Commonwealth’s Attorney Information System (VCAIS) will be retired by the State in2013. VCAIS was developed by the State for the,The Virginia Commonwealth’s Attorney Information System (VCAIS) will be retired by the State in2013. VCAIS was developed by the State for the,The Virginia Commonwealth’s Attorney Information System (VCAIS) will be retired by the State in2013. VCAIS was developed by the State for the,The Virginia Commonwealth’s Attorney Information System (VCAIS) will be retired by the State in2013. VCAIS was developed by the State for the,The Virginia Commonwealth’s Attorney Information System (VCAIS) will be retired by the State in2013. VCAIS was developed by the State for the,The Virginia Commonwealth’s Attorney Information System (VCAIS) will be retired by the State in2013. VCAIS was developed by the State for the,The Virginia Commonwealth’s Attorney Information System (VCAIS) will be retired by the State in2013. VCAIS was developed by the State for the,
Commonwealth’s Attorneys use in automation of case management. VCAIS is hosted in Virginia Beach and had been supported with an IT staff of,Commonwealth’s Attorneys use in automation of case management. VCAIS is hosted in Virginia Beach and had been supported with an IT staff of,Commonwealth’s Attorneys use in automation of case management. VCAIS is hosted in Virginia Beach and had been supported with an IT staff of,Commonwealth’s Attorneys use in automation of case management. VCAIS is hosted in Virginia Beach and had been supported with an IT staff of,Commonwealth’s Attorneys use in automation of case management. VCAIS is hosted in Virginia Beach and had been supported with an IT staff of,Commonwealth’s Attorneys use in automation of case management. VCAIS is hosted in Virginia Beach and had been supported with an IT staff of,Commonwealth’s Attorneys use in automation of case management. VCAIS is hosted in Virginia Beach and had been supported with an IT staff of,
IBM programmers and technicians. The State has been reducing funding for VCAIS over the last several years and the system is now supported by a,IBM programmers and technicians. The State has been reducing funding for VCAIS over the last several years and the system is now supported by a,IBM programmers and technicians. The State has been reducing funding for VCAIS over the last several years and the system is now supported by a,IBM programmers and technicians. The State has been reducing funding for VCAIS over the last several years and the system is now supported by a,IBM programmers and technicians. The State has been reducing funding for VCAIS over the last several years and the system is now supported by a,IBM programmers and technicians. The State has been reducing funding for VCAIS over the last several years and the system is now supported by a,IBM programmers and technicians. The State has been reducing funding for VCAIS over the last several years and the system is now supported by a,
single programmer (retiring in the near future) on an outdated IBM Lotus Notes/Domino server. Future plans for support and enhancements have,single programmer (retiring in the near future) on an outdated IBM Lotus Notes/Domino server. Future plans for support and enhancements have,single programmer (retiring in the near future) on an outdated IBM Lotus Notes/Domino server. Future plans for support and enhancements have,single programmer (retiring in the near future) on an outdated IBM Lotus Notes/Domino server. Future plans for support and enhancements have,single programmer (retiring in the near future) on an outdated IBM Lotus Notes/Domino server. Future plans for support and enhancements have,single programmer (retiring in the near future) on an outdated IBM Lotus Notes/Domino server. Future plans for support and enhancements have,single programmer (retiring in the near future) on an outdated IBM Lotus Notes/Domino server. Future plans for support and enhancements have,
been dropped and all Commonwealth Attorneys have been advised to seek a system to replace VCAIS.,been dropped and all Commonwealth Attorneys have been advised to seek a system to replace VCAIS.,been dropped and all Commonwealth Attorneys have been advised to seek a system to replace VCAIS.,been dropped and all Commonwealth Attorneys have been advised to seek a system to replace VCAIS.,been dropped and all Commonwealth Attorneys have been advised to seek a system to replace VCAIS.,,,
Ca,,,,,,,
The Portsmouth Commonwealth Attorney has requested the IT Department plan and support the implementation of a new case management system.,The Portsmouth Commonwealth Attorney has requested the IT Department plan and support the implementation of a new case management system.,The Portsmouth Commonwealth Attorney has requested the IT Department plan and support the implementation of a new case management system.,The Portsmouth Commonwealth Attorney has requested the IT Department plan and support the implementation of a new case management system.,The Portsmouth Commonwealth Attorney has requested the IT Department plan and support the implementation of a new case management system.,The Portsmouth Commonwealth Attorney has requested the IT Department plan and support the implementation of a new case management system.,The Portsmouth Commonwealth Attorney has requested the IT Department plan and support the implementation of a new case management system.,
This proposed budget recommendation is to implement a prosecute software application to log and track case activities from start to final disposition.,This proposed budget recommendation is to implement a prosecute software application to log and track case activities from start to final disposition.,This proposed budget recommendation is to implement a prosecute software application to log and track case activities from start to final disposition.,This proposed budget recommendation is to implement a prosecute software application to log and track case activities from start to final disposition.,This proposed budget recommendation is to implement a prosecute software application to log and track case activities from start to final disposition.,This proposed budget recommendation is to implement a prosecute software application to log and track case activities from start to final disposition.,This proposed budget recommendation is to implement a prosecute software application to log and track case activities from start to final disposition.,
The system would interface with the Police Department’s criminal records system to share case related information. The system will support digital,The system would interface with the Police Department’s criminal records system to share case related information. The system will support digital,The system would interface with the Police Department’s criminal records system to share case related information. The system will support digital,The system would interface with the Police Department’s criminal records system to share case related information. The system will support digital,The system would interface with the Police Department’s criminal records system to share case related information. The system will support digital,The system would interface with the Police Department’s criminal records system to share case related information. The system will support digital,The system would interface with the Police Department’s criminal records system to share case related information. The system will support digital,
"storage of images, audio files and other documents and files associated with the case. Subpoenas can be automated to generate in mass and","storage of images, audio files and other documents and files associated with the case. Subpoenas can be automated to generate in mass and","storage of images, audio files and other documents and files associated with the case. Subpoenas can be automated to generate in mass and","storage of images, audio files and other documents and files associated with the case. Subpoenas can be automated to generate in mass and","storage of images, audio files and other documents and files associated with the case. Subpoenas can be automated to generate in mass and","storage of images, audio files and other documents and files associated with the case. Subpoenas can be automated to generate in mass and",,
