Name: “Table 1 of 1 on page 40 of 70”,Name: “Table 1 of 1 on page 40 of 70”,Name: “Table 1 of 1 on page 40 of 70”,Name: “Table 1 of 1 on page 40 of 70”,Name: “Table 1 of 1 on page 40 of 70”,Name: “Table 1 of 1 on page 40 of 70”,Name: “Table 1 of 1 on page 40 of 70”,Name: “Table 1 of 1 on page 40 of 70”
Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Education,Education,,,
Project: 00043,Title: Transfer to General Fund,Title: Transfer to General Fund,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location:,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"2,750,000","560,000","560,000","560,000","1,070,000",0,0,0
,,,Description and Scope,Description and Scope,,,
"The Portsmouth Public Schools contributed a total of $2,750,000 towards the debt service for the construction of the new Simonsdale Elementary","The Portsmouth Public Schools contributed a total of $2,750,000 towards the debt service for the construction of the new Simonsdale Elementary","The Portsmouth Public Schools contributed a total of $2,750,000 towards the debt service for the construction of the new Simonsdale Elementary","The Portsmouth Public Schools contributed a total of $2,750,000 towards the debt service for the construction of the new Simonsdale Elementary","The Portsmouth Public Schools contributed a total of $2,750,000 towards the debt service for the construction of the new Simonsdale Elementary","The Portsmouth Public Schools contributed a total of $2,750,000 towards the debt service for the construction of the new Simonsdale Elementary",,
School. Those funds were booked in the Capital Improvement Fund. These funds will be used to make the debt service payments until they are,School. Those funds were booked in the Capital Improvement Fund. These funds will be used to make the debt service payments until they are,School. Those funds were booked in the Capital Improvement Fund. These funds will be used to make the debt service payments until they are,School. Those funds were booked in the Capital Improvement Fund. These funds will be used to make the debt service payments until they are,School. Those funds were booked in the Capital Improvement Fund. These funds will be used to make the debt service payments until they are,School. Those funds were booked in the Capital Improvement Fund. These funds will be used to make the debt service payments until they are,,
"exhausted. The CIP fund is making a transfer to the General Fund, where the debt service payments are reflected.","exhausted. The CIP fund is making a transfer to the General Fund, where the debt service payments are reflected.","exhausted. The CIP fund is making a transfer to the General Fund, where the debt service payments are reflected.","exhausted. The CIP fund is making a transfer to the General Fund, where the debt service payments are reflected.","exhausted. The CIP fund is making a transfer to the General Fund, where the debt service payments are reflected.",,,
,,,Rationale,Rationale,,,
,,,Funding Strategy,Funding Strategy,,,
,Project Map,Project Map,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,,"2,750,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,750,000"
,,,,,Means of Financing,,
,,,,,Funding Source,,Amount
,,,Transfers from Schools(Capital Reserve Simonsdale School),Transfers from Schools(Capital Reserve Simonsdale School),Transfers from Schools(Capital Reserve Simonsdale School),,"2,750,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,750,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 40,14 - 40,,Capital Improvements,Capital Improvements
