Name: “Table 1 of 1 on page 61 of 70”,Name: “Table 1 of 1 on page 61 of 70”,Name: “Table 1 of 1 on page 61 of 70”,Name: “Table 1 of 1 on page 61 of 70”,Name: “Table 1 of 1 on page 61 of 70”,Name: “Table 1 of 1 on page 61 of 70”,Name: “Table 1 of 1 on page 61 of 70”,Name: “Table 1 of 1 on page 61 of 70”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,Municipal Facilities,,,
Project: 17207,Title: Renovations to Various Buildings,Title: Renovations to Various Buildings,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"4,032,987","2,907,987","225,000","225,000","225,000","225,000","225,000",0
,,,Description and Scope,Description and Scope,,,
This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,
assesment.,,,,,,,
,,,Rationale,Rationale,,,
"The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and",
"comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.",
,,,Funding Strategy,Funding Strategy,,,
This project is funded by GO Bond funding.,This project is funded by GO Bond funding.,,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,
equipment.,,,,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/06 - 06/17,"4,032,987"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"4,032,987"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"2,907,987"
,,,Transfer from General Fund,Transfer from General Fund,,,"1,125,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"4,032,987"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 61,14 - 61,,Capital Improvements,Capital Improvements
