Name: “Table 1 of 1 on page 17 of 70”,Name: “Table 1 of 1 on page 17 of 70”,Name: “Table 1 of 1 on page 17 of 70”,Name: “Table 1 of 1 on page 17 of 70”,Name: “Table 1 of 1 on page 17 of 70”,Name: “Table 1 of 1 on page 17 of 70”,Name: “Table 1 of 1 on page 17 of 70”,Name: “Table 1 of 1 on page 17 of 70”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,
,,,Water,Water,,,
Project: 20010,Title: Lake Cahoon Raw Water Pump Station and Pipeline,Title: Lake Cahoon Raw Water Pump Station and Pipeline,Title: Lake Cahoon Raw Water Pump Station and Pipeline,Title: Lake Cahoon Raw Water Pump Station and Pipeline,,Status: Active Project,
,Comprehensive Plan Information,,,,,Project Location,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Lake Cahoon Reservoir,Location: Lake Cahoon Reservoir,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"10,800,000","800,000",0,0,"8,000,000","2,000,000",0,0
,,,Description and Scope,Description and Scope,,,
The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,
"This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains",
53% of the combined reservoir’s supply capacity.,53% of the combined reservoir’s supply capacity.,,,,,,
,,,Rationale,Rationale,,,
"•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system, thereby","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system, thereby","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system, thereby","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system, thereby","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system, thereby","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system, thereby","•Construction of an intake on Lake Cohoon would provide a transmission source on the northern sub-basin of Portsmouth’s reservoir system, thereby",
increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir allowing for,increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir allowing for,increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir allowing for,increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir allowing for,increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir allowing for,increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir allowing for,increasing protection against contamination events. Additionally water could be blended for both sub-basins feeding the terminal reservoir allowing for,
water quality adjustments.,,,,,,,
•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,•Construction of a separate access to the largest reservoir system sub-basin provides additional reliability that does not currently exist.,,
,,,Funding Strategy,Funding Strategy,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Once completed, this project will have minimal impact on the operating budget.","Once completed, this project will have minimal impact on the operating budget.","Once completed, this project will have minimal impact on the operating budget.",,,,,
,Project Map,,,,,Schedule of Activities,
,,,,,Project Activities,From - To,Amount
,,,Design,Design,,07/09 - 06/10,"800,000"
,,,Construction,Construction,,07/10 - 06/17,"10,000,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"10,800,000"
,,,,,Means of Financing,,
,,,,,Funding Source,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"10,800,000"
,,,,,,Total Programmed Funding:,"10,800,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 17,14 - 17,,Capital Improvements,Capital Improvements
