Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 13007,Title: Midtown Corridor,,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location:,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"1,000,000","1,000,000",0,0,0,0,0,0
,,,Description and Scope,,,,
This project will provide 1) matching funds to VDOT under the Revenue Sharing Program to accelerate the accrual of funds and expedite construction,This project will provide 1) matching funds to VDOT under the Revenue Sharing Program to accelerate the accrual of funds and expedite construction,This project will provide 1) matching funds to VDOT under the Revenue Sharing Program to accelerate the accrual of funds and expedite construction,This project will provide 1) matching funds to VDOT under the Revenue Sharing Program to accelerate the accrual of funds and expedite construction,This project will provide 1) matching funds to VDOT under the Revenue Sharing Program to accelerate the accrual of funds and expedite construction,This project will provide 1) matching funds to VDOT under the Revenue Sharing Program to accelerate the accrual of funds and expedite construction,This project will provide 1) matching funds to VDOT under the Revenue Sharing Program to accelerate the accrual of funds and expedite construction,
"of the Turnpike Road Improvement Project being funded under the VDOT Urban Program, and 2) implement the first phase of the Frederick","of the Turnpike Road Improvement Project being funded under the VDOT Urban Program, and 2) implement the first phase of the Frederick","of the Turnpike Road Improvement Project being funded under the VDOT Urban Program, and 2) implement the first phase of the Frederick","of the Turnpike Road Improvement Project being funded under the VDOT Urban Program, and 2) implement the first phase of the Frederick","of the Turnpike Road Improvement Project being funded under the VDOT Urban Program, and 2) implement the first phase of the Frederick","of the Turnpike Road Improvement Project being funded under the VDOT Urban Program, and 2) implement the first phase of the Frederick",,
Boulevard corridor plan as recommended by a recent planning study.,Boulevard corridor plan as recommended by a recent planning study.,Boulevard corridor plan as recommended by a recent planning study.,,,,,
,,,Rationale,,,,
This project will accelerate the improvements to Turnpike Road which will enhance the revitalization and redevelopment of both the former IC Norcom,This project will accelerate the improvements to Turnpike Road which will enhance the revitalization and redevelopment of both the former IC Norcom,This project will accelerate the improvements to Turnpike Road which will enhance the revitalization and redevelopment of both the former IC Norcom,This project will accelerate the improvements to Turnpike Road which will enhance the revitalization and redevelopment of both the former IC Norcom,This project will accelerate the improvements to Turnpike Road which will enhance the revitalization and redevelopment of both the former IC Norcom,This project will accelerate the improvements to Turnpike Road which will enhance the revitalization and redevelopment of both the former IC Norcom,This project will accelerate the improvements to Turnpike Road which will enhance the revitalization and redevelopment of both the former IC Norcom,
property and the Jeffry Wilson property. The work will provide aesthetic gateway improvements into this redeveloping retail area of the City.,property and the Jeffry Wilson property. The work will provide aesthetic gateway improvements into this redeveloping retail area of the City.,property and the Jeffry Wilson property. The work will provide aesthetic gateway improvements into this redeveloping retail area of the City.,property and the Jeffry Wilson property. The work will provide aesthetic gateway improvements into this redeveloping retail area of the City.,property and the Jeffry Wilson property. The work will provide aesthetic gateway improvements into this redeveloping retail area of the City.,property and the Jeffry Wilson property. The work will provide aesthetic gateway improvements into this redeveloping retail area of the City.,,
,,,Funding Strategy,,,,
"VDOT will match $1M in CIP funds to augment $3.15M available in VDOT Urban Program funds, accelerating the accrual of funds to speed up the","VDOT will match $1M in CIP funds to augment $3.15M available in VDOT Urban Program funds, accelerating the accrual of funds to speed up the","VDOT will match $1M in CIP funds to augment $3.15M available in VDOT Urban Program funds, accelerating the accrual of funds to speed up the","VDOT will match $1M in CIP funds to augment $3.15M available in VDOT Urban Program funds, accelerating the accrual of funds to speed up the","VDOT will match $1M in CIP funds to augment $3.15M available in VDOT Urban Program funds, accelerating the accrual of funds to speed up the","VDOT will match $1M in CIP funds to augment $3.15M available in VDOT Urban Program funds, accelerating the accrual of funds to speed up the","VDOT will match $1M in CIP funds to augment $3.15M available in VDOT Urban Program funds, accelerating the accrual of funds to speed up the",
start of construction of the Turnpike Road Improvement project from FY19 to FY11.,start of construction of the Turnpike Road Improvement project from FY19 to FY11.,start of construction of the Turnpike Road Improvement project from FY19 to FY11.,start of construction of the Turnpike Road Improvement project from FY19 to FY11.,,,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/06 - 06/12,"1,000,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"1,000,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"820,266"
,,,Interest Earnings,,,,"179,734"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"1,000,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 30,,,Capital Improvements,Capital Improvements
