Name: “Table 1 of 1 on page 50 of 70”,Name: “Table 1 of 1 on page 50 of 70”,Name: “Table 1 of 1 on page 50 of 70”,Name: “Table 1 of 1 on page 50 of 70”,Name: “Table 1 of 1 on page 50 of 70”,Name: “Table 1 of 1 on page 50 of 70”,Name: “Table 1 of 1 on page 50 of 70”,Name: “Table 1 of 1 on page 50 of 70”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 17607,Title: Behavioral Health Building,Title: Behavioral Health Building,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: County Street,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"8,520,000","7,529,003","990,997",0,0,0,0,0
,,,Description and Scope,,,,
"This project provides funding for a new Behavioral Healthcare Building that will be approximately 30,000 square feet and located adjacent to the","This project provides funding for a new Behavioral Healthcare Building that will be approximately 30,000 square feet and located adjacent to the","This project provides funding for a new Behavioral Healthcare Building that will be approximately 30,000 square feet and located adjacent to the","This project provides funding for a new Behavioral Healthcare Building that will be approximately 30,000 square feet and located adjacent to the","This project provides funding for a new Behavioral Healthcare Building that will be approximately 30,000 square feet and located adjacent to the","This project provides funding for a new Behavioral Healthcare Building that will be approximately 30,000 square feet and located adjacent to the",,
Social Services building. The facility will contain all BHS activities except for the operations currently located in the Port Centre building.,Social Services building. The facility will contain all BHS activities except for the operations currently located in the Port Centre building.,Social Services building. The facility will contain all BHS activities except for the operations currently located in the Port Centre building.,Social Services building. The facility will contain all BHS activities except for the operations currently located in the Port Centre building.,Social Services building. The facility will contain all BHS activities except for the operations currently located in the Port Centre building.,Social Services building. The facility will contain all BHS activities except for the operations currently located in the Port Centre building.,,
,,,Rationale,,,,
Combining the various BHS activities into a new facility adjacent to Social Services will improve service delivery and optimize efficiencies,Combining the various BHS activities into a new facility adjacent to Social Services will improve service delivery and optimize efficiencies,Combining the various BHS activities into a new facility adjacent to Social Services will improve service delivery and optimize efficiencies,Combining the various BHS activities into a new facility adjacent to Social Services will improve service delivery and optimize efficiencies,Combining the various BHS activities into a new facility adjacent to Social Services will improve service delivery and optimize efficiencies,Combining the various BHS activities into a new facility adjacent to Social Services will improve service delivery and optimize efficiencies,,
,,,Funding Strategy,,,,
"$4.5 million - Lease Revenue Bonds issued August, 2004. An additional $3 million in Build America Bonds were issued in 2010.","$4.5 million - Lease Revenue Bonds issued August, 2004. An additional $3 million in Build America Bonds were issued in 2010.","$4.5 million - Lease Revenue Bonds issued August, 2004. An additional $3 million in Build America Bonds were issued in 2010.","$4.5 million - Lease Revenue Bonds issued August, 2004. An additional $3 million in Build America Bonds were issued in 2010.","$4.5 million - Lease Revenue Bonds issued August, 2004. An additional $3 million in Build America Bonds were issued in 2010.","$4.5 million - Lease Revenue Bonds issued August, 2004. An additional $3 million in Build America Bonds were issued in 2010.",,
,Project Map,Project Map,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/01 - 06/15,"8,520,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"8,520,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,VML/VaCO Lease Revenue Bonds,VML/VaCO Lease Revenue Bonds,,,"4,500,000"
,,,General Obligation Bonds,General Obligation Bonds,,,"3,000,000"
,,,General Obligation Notes,General Obligation Notes,,,"29,003"
,,,Future Bond Issuance,,,,"990,997"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"8,520,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 50,,,Capital Improvements,Capital Improvements
