Name: “Table 1 of 1 on page 46 of 70”,Name: “Table 1 of 1 on page 46 of 70”,Name: “Table 1 of 1 on page 46 of 70”,Name: “Table 1 of 1 on page 46 of 70”,Name: “Table 1 of 1 on page 46 of 70”,Name: “Table 1 of 1 on page 46 of 70”,Name: “Table 1 of 1 on page 46 of 70”,Name: “Table 1 of 1 on page 46 of 70”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Leisure Services,Leisure Services,,,
Project: 15007,Title: Outdoor Recreation Facility Repair / Replacement,Title: Outdoor Recreation Facility Repair / Replacement,Title: Outdoor Recreation Facility Repair / Replacement,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"2,159,505","1,294,505","150,000","165,000","170,000","170,000","210,000",0
,,,Description and Scope,Description and Scope,,,
"This project provides funding to replace/renovate outdoor athletic amenities such as fencing, drainage, court surfacing, field renovation and tennis","This project provides funding to replace/renovate outdoor athletic amenities such as fencing, drainage, court surfacing, field renovation and tennis","This project provides funding to replace/renovate outdoor athletic amenities such as fencing, drainage, court surfacing, field renovation and tennis","This project provides funding to replace/renovate outdoor athletic amenities such as fencing, drainage, court surfacing, field renovation and tennis","This project provides funding to replace/renovate outdoor athletic amenities such as fencing, drainage, court surfacing, field renovation and tennis","This project provides funding to replace/renovate outdoor athletic amenities such as fencing, drainage, court surfacing, field renovation and tennis","This project provides funding to replace/renovate outdoor athletic amenities such as fencing, drainage, court surfacing, field renovation and tennis",
court renovation. Projects which have been identified include:,court renovation. Projects which have been identified include:,court renovation. Projects which have been identified include:,,,,,
• Churchland Park #4 Softball - fencing replacement,• Churchland Park #4 Softball - fencing replacement,,,,,,
"• Renovation of Tennis Courts (Wilson High School, Churchland Park, City Park)","• Renovation of Tennis Courts (Wilson High School, Churchland Park, City Park)","• Renovation of Tennis Courts (Wilson High School, Churchland Park, City Park)","• Renovation of Tennis Courts (Wilson High School, Churchland Park, City Park)",,,,
• Demolition of old athletic lighting - South Street ball field,• Demolition of old athletic lighting - South Street ball field,• Demolition of old athletic lighting - South Street ball field,,,,,
• Other Ballfield fencing and athletic facility renovations as determined by priorities,• Other Ballfield fencing and athletic facility renovations as determined by priorities,• Other Ballfield fencing and athletic facility renovations as determined by priorities,• Other Ballfield fencing and athletic facility renovations as determined by priorities,,,,
• Other Ballfield fencing and athletic facility renovations as determined by priorities,• Other Ballfield fencing and athletic facility renovations as determined by priorities,• Other Ballfield fencing and athletic facility renovations as determined by priorities,• Other Ballfield fencing and athletic facility renovations as determined by priorities,,,,
,,,,Rationale,,,
