Name: “Table 1 of 1 on page 19 of 70”,Name: “Table 1 of 1 on page 19 of 70”,Name: “Table 1 of 1 on page 19 of 70”,Name: “Table 1 of 1 on page 19 of 70”,Name: “Table 1 of 1 on page 19 of 70”,Name: “Table 1 of 1 on page 19 of 70”,Name: “Table 1 of 1 on page 19 of 70”,Name: “Table 1 of 1 on page 19 of 70”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,,Water,,,
Project: 22007,Title: Low Pressure Transmission Mains,Title: Low Pressure Transmission Mains,Title: Low Pressure Transmission Mains,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,,Project Location,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Portsmouth and Suffolk,Location: Portsmouth and Suffolk,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"20,250,000","5,250,000","1,000,000","4,000,000","5,000,000","5,000,000",0,0
,,,Description and Scope,Description and Scope,,,
•The Department of Public Utilities operates three low pressure transmission mains that convey water from the Lake Kilby Water Treatment Plant in,•The Department of Public Utilities operates three low pressure transmission mains that convey water from the Lake Kilby Water Treatment Plant in,•The Department of Public Utilities operates three low pressure transmission mains that convey water from the Lake Kilby Water Treatment Plant in,•The Department of Public Utilities operates three low pressure transmission mains that convey water from the Lake Kilby Water Treatment Plant in,•The Department of Public Utilities operates three low pressure transmission mains that convey water from the Lake Kilby Water Treatment Plant in,•The Department of Public Utilities operates three low pressure transmission mains that convey water from the Lake Kilby Water Treatment Plant in,•The Department of Public Utilities operates three low pressure transmission mains that convey water from the Lake Kilby Water Treatment Plant in,
"Suffolk, 23 miles into Portsmouth. These mains were constructed in 1888, 1906 and 1950. This project provides for a plan to evaluate the remaining","Suffolk, 23 miles into Portsmouth. These mains were constructed in 1888, 1906 and 1950. This project provides for a plan to evaluate the remaining","Suffolk, 23 miles into Portsmouth. These mains were constructed in 1888, 1906 and 1950. This project provides for a plan to evaluate the remaining","Suffolk, 23 miles into Portsmouth. These mains were constructed in 1888, 1906 and 1950. This project provides for a plan to evaluate the remaining","Suffolk, 23 miles into Portsmouth. These mains were constructed in 1888, 1906 and 1950. This project provides for a plan to evaluate the remaining","Suffolk, 23 miles into Portsmouth. These mains were constructed in 1888, 1906 and 1950. This project provides for a plan to evaluate the remaining","Suffolk, 23 miles into Portsmouth. These mains were constructed in 1888, 1906 and 1950. This project provides for a plan to evaluate the remaining",
