Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 10407,Title: Turnpike Road - ML King Hwy to Portsmouth Boulevard,Title: Turnpike Road - ML King Hwy to Portsmouth Boulevard,Title: Turnpike Road - ML King Hwy to Portsmouth Boulevard,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Turnpike Road,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"732,150","732,150",0,0,0,0,0,0
,,,Description and Scope,,,,
The project provides funding for facility repairs from Constitution to Portsmouth Boulevard consisting of widening Turnpike Road to five lanes with,The project provides funding for facility repairs from Constitution to Portsmouth Boulevard consisting of widening Turnpike Road to five lanes with,The project provides funding for facility repairs from Constitution to Portsmouth Boulevard consisting of widening Turnpike Road to five lanes with,The project provides funding for facility repairs from Constitution to Portsmouth Boulevard consisting of widening Turnpike Road to five lanes with,The project provides funding for facility repairs from Constitution to Portsmouth Boulevard consisting of widening Turnpike Road to five lanes with,The project provides funding for facility repairs from Constitution to Portsmouth Boulevard consisting of widening Turnpike Road to five lanes with,,
"sidewalks, curbs and gutters and associated drainage improvements. The segment of Turnpike between Constitution and Frederick Boulevard is","sidewalks, curbs and gutters and associated drainage improvements. The segment of Turnpike between Constitution and Frederick Boulevard is","sidewalks, curbs and gutters and associated drainage improvements. The segment of Turnpike between Constitution and Frederick Boulevard is","sidewalks, curbs and gutters and associated drainage improvements. The segment of Turnpike between Constitution and Frederick Boulevard is","sidewalks, curbs and gutters and associated drainage improvements. The segment of Turnpike between Constitution and Frederick Boulevard is","sidewalks, curbs and gutters and associated drainage improvements. The segment of Turnpike between Constitution and Frederick Boulevard is",,
planned for construction at this time.,planned for construction at this time.,,,,,,
,,,Rationale,,,,
,,,Funding Strategy,,,,
"This project has ongoing ROW and design activities at VDOT, but is accruing construction funding through the City's annual VDOT urban allocation.","This project has ongoing ROW and design activities at VDOT, but is accruing construction funding through the City's annual VDOT urban allocation.","This project has ongoing ROW and design activities at VDOT, but is accruing construction funding through the City's annual VDOT urban allocation.","This project has ongoing ROW and design activities at VDOT, but is accruing construction funding through the City's annual VDOT urban allocation.","This project has ongoing ROW and design activities at VDOT, but is accruing construction funding through the City's annual VDOT urban allocation.","This project has ongoing ROW and design activities at VDOT, but is accruing construction funding through the City's annual VDOT urban allocation.","This project has ongoing ROW and design activities at VDOT, but is accruing construction funding through the City's annual VDOT urban allocation.",
"The CIP estimate is based on the City's paying 2% of total project costs, estimated at $13,000,000. This is a VDOT managed project project.","The CIP estimate is based on the City's paying 2% of total project costs, estimated at $13,000,000. This is a VDOT managed project project.","The CIP estimate is based on the City's paying 2% of total project costs, estimated at $13,000,000. This is a VDOT managed project project.","The CIP estimate is based on the City's paying 2% of total project costs, estimated at $13,000,000. This is a VDOT managed project project.","The CIP estimate is based on the City's paying 2% of total project costs, estimated at $13,000,000. This is a VDOT managed project project.","The CIP estimate is based on the City's paying 2% of total project costs, estimated at $13,000,000. This is a VDOT managed project project.",,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/08 - 06/12,"732,150"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"732,150"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"451,335"
,,,State-Other Categorical Aid,State-Other Categorical Aid,,,"70,000"
,,,Interest Earnings,,,,"210,815"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"732,150"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 32,,,Capital Improvements,Capital Improvements
