Name: “Table 1 of 1 on page 18 of 70”,Name: “Table 1 of 1 on page 18 of 70”,Name: “Table 1 of 1 on page 18 of 70”,Name: “Table 1 of 1 on page 18 of 70”,Name: “Table 1 of 1 on page 18 of 70”,Name: “Table 1 of 1 on page 18 of 70”,Name: “Table 1 of 1 on page 18 of 70”,Name: “Table 1 of 1 on page 18 of 70”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,
,,,,Water,,,
Project: 23007,Title: Lake Kilby Replacement Filters 1-10,Title: Lake Kilby Replacement Filters 1-10,Title: Lake Kilby Replacement Filters 1-10,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Lake Kilby Water Treatment Facility,Location: Lake Kilby Water Treatment Facility,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"37,600,000","2,600,000","15,000,000","10,000,000","10,000,000",0,0,0
,,,Description and Scope,Description and Scope,,,
The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,
at the treatment facility with conventional media filters or with membrane technology.,at the treatment facility with conventional media filters or with membrane technology.,at the treatment facility with conventional media filters or with membrane technology.,at the treatment facility with conventional media filters or with membrane technology.,,,,
,,,,Rationale,,,
•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were constructed,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were constructed,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were constructed,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were constructed,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were constructed,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were constructed,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were constructed,
"without reinforcing steel (post World War II constraint) and are now deteriorating. Additionally, the southwest corner of the filter building was not pile","without reinforcing steel (post World War II constraint) and are now deteriorating. Additionally, the southwest corner of the filter building was not pile","without reinforcing steel (post World War II constraint) and are now deteriorating. Additionally, the southwest corner of the filter building was not pile","without reinforcing steel (post World War II constraint) and are now deteriorating. Additionally, the southwest corner of the filter building was not pile","without reinforcing steel (post World War II constraint) and are now deteriorating. Additionally, the southwest corner of the filter building was not pile","without reinforcing steel (post World War II constraint) and are now deteriorating. Additionally, the southwest corner of the filter building was not pile","without reinforcing steel (post World War II constraint) and are now deteriorating. Additionally, the southwest corner of the filter building was not pile",
supported and has settled significantly. These filters have outlived or are nearing the end of their useful lives.,supported and has settled significantly. These filters have outlived or are nearing the end of their useful lives.,supported and has settled significantly. These filters have outlived or are nearing the end of their useful lives.,supported and has settled significantly. These filters have outlived or are nearing the end of their useful lives.,supported and has settled significantly. These filters have outlived or are nearing the end of their useful lives.,,,
"•To insure the continued integrity, capacity and operation of the Lake Kilby Treatment Facility it is important that these filters be replaced with either","•To insure the continued integrity, capacity and operation of the Lake Kilby Treatment Facility it is important that these filters be replaced with either","•To insure the continued integrity, capacity and operation of the Lake Kilby Treatment Facility it is important that these filters be replaced with either","•To insure the continued integrity, capacity and operation of the Lake Kilby Treatment Facility it is important that these filters be replaced with either","•To insure the continued integrity, capacity and operation of the Lake Kilby Treatment Facility it is important that these filters be replaced with either","•To insure the continued integrity, capacity and operation of the Lake Kilby Treatment Facility it is important that these filters be replaced with either","•To insure the continued integrity, capacity and operation of the Lake Kilby Treatment Facility it is important that these filters be replaced with either",
new conventional media filters or with the use of membrane technology.,new conventional media filters or with the use of membrane technology.,new conventional media filters or with the use of membrane technology.,new conventional media filters or with the use of membrane technology.,,,,
"•Project Source document: Lake Kilby Water Facility Master Plan 2001 Update, page 6-5, Table 6-3","•Project Source document: Lake Kilby Water Facility Master Plan 2001 Update, page 6-5, Table 6-3","•Project Source document: Lake Kilby Water Facility Master Plan 2001 Update, page 6-5, Table 6-3","•Project Source document: Lake Kilby Water Facility Master Plan 2001 Update, page 6-5, Table 6-3","•Project Source document: Lake Kilby Water Facility Master Plan 2001 Update, page 6-5, Table 6-3",,,
,,,,Funding Strategy,,,
Evaluation and study will determine the multiphasing of this project and its cost.,Evaluation and study will determine the multiphasing of this project and its cost.,Evaluation and study will determine the multiphasing of this project and its cost.,Evaluation and study will determine the multiphasing of this project and its cost.,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Once completed, this project will have minimal impact on the operating budget.","Once completed, this project will have minimal impact on the operating budget.","Once completed, this project will have minimal impact on the operating budget.","Once completed, this project will have minimal impact on the operating budget.",,,,
,Project Map,Project Map,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,,Project Management,,07/04 - 06/05,"150,000"
,,,,Design,,07/10 - 06/13,"5,045,000"
,,,,Construction,,07/10 - 06/14,"32,405,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"37,600,000"
,,,,,Means of Financing,,
,,,,,Funding Source,,Amount
,,,,Public Utilities General Obligation Bonds,,,"37,600,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"37,600,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,,14 - 18,,Capital Improvements,Capital Improvements
