Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”,Name: “Table 1 of 1 on page 29 of 70”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 12707,Title: Dredging of Lakes/Ponds,Title: Dredging of Lakes/Ponds,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"3,303,571","2,000,000","303,571","200,000","200,000","300,000","300,000",0
,,,Description and Scope,Description and Scope,,,
The Stormwater Management Plan is committed to address lake/pond issues throughout the City. One of these issues is the dredging of the City's,The Stormwater Management Plan is committed to address lake/pond issues throughout the City. One of these issues is the dredging of the City's,The Stormwater Management Plan is committed to address lake/pond issues throughout the City. One of these issues is the dredging of the City's,The Stormwater Management Plan is committed to address lake/pond issues throughout the City. One of these issues is the dredging of the City's,The Stormwater Management Plan is committed to address lake/pond issues throughout the City. One of these issues is the dredging of the City's,The Stormwater Management Plan is committed to address lake/pond issues throughout the City. One of these issues is the dredging of the City's,The Stormwater Management Plan is committed to address lake/pond issues throughout the City. One of these issues is the dredging of the City's,
"lakes and ponds which is necessary to re-establish the original lake depth, remove organic materials and sediment and enhance water quality. The","lakes and ponds which is necessary to re-establish the original lake depth, remove organic materials and sediment and enhance water quality. The","lakes and ponds which is necessary to re-establish the original lake depth, remove organic materials and sediment and enhance water quality. The","lakes and ponds which is necessary to re-establish the original lake depth, remove organic materials and sediment and enhance water quality. The","lakes and ponds which is necessary to re-establish the original lake depth, remove organic materials and sediment and enhance water quality. The","lakes and ponds which is necessary to re-establish the original lake depth, remove organic materials and sediment and enhance water quality. The","lakes and ponds which is necessary to re-establish the original lake depth, remove organic materials and sediment and enhance water quality. The",
Lake Management Plan prioritizes dredging and other lake improvements based on water quality and increased functionality. The first dredging,Lake Management Plan prioritizes dredging and other lake improvements based on water quality and increased functionality. The first dredging,Lake Management Plan prioritizes dredging and other lake improvements based on water quality and increased functionality. The first dredging,Lake Management Plan prioritizes dredging and other lake improvements based on water quality and increased functionality. The first dredging,Lake Management Plan prioritizes dredging and other lake improvements based on water quality and increased functionality. The first dredging,Lake Management Plan prioritizes dredging and other lake improvements based on water quality and increased functionality. The first dredging,Lake Management Plan prioritizes dredging and other lake improvements based on water quality and increased functionality. The first dredging,
project commenced in FY08.,project commenced in FY08.,,,,,,
,,,Rationale,Rationale,,,
"City street drainage flows into some of the lakes and ponds throughout City. These locations are important to the City's stormwater system,and are","City street drainage flows into some of the lakes and ponds throughout City. These locations are important to the City's stormwater system,and are","City street drainage flows into some of the lakes and ponds throughout City. These locations are important to the City's stormwater system,and are","City street drainage flows into some of the lakes and ponds throughout City. These locations are important to the City's stormwater system,and are","City street drainage flows into some of the lakes and ponds throughout City. These locations are important to the City's stormwater system,and are","City street drainage flows into some of the lakes and ponds throughout City. These locations are important to the City's stormwater system,and are","City street drainage flows into some of the lakes and ponds throughout City. These locations are important to the City's stormwater system,and are",
included in the city's VPDES Stormwater permit.,included in the city's VPDES Stormwater permit.,,,,,,
,,,Funding Strategy,Funding Strategy,,,
"Starting in FY10, a minimum of $200,000 per year will be budgeted to address lake/pond and outfall dredging. Funding will be used for project","Starting in FY10, a minimum of $200,000 per year will be budgeted to address lake/pond and outfall dredging. Funding will be used for project","Starting in FY10, a minimum of $200,000 per year will be budgeted to address lake/pond and outfall dredging. Funding will be used for project","Starting in FY10, a minimum of $200,000 per year will be budgeted to address lake/pond and outfall dredging. Funding will be used for project","Starting in FY10, a minimum of $200,000 per year will be budgeted to address lake/pond and outfall dredging. Funding will be used for project","Starting in FY10, a minimum of $200,000 per year will be budgeted to address lake/pond and outfall dredging. Funding will be used for project","Starting in FY10, a minimum of $200,000 per year will be budgeted to address lake/pond and outfall dredging. Funding will be used for project",
