Name: “Table 1 of 1 on page 65 of 70”,Name: “Table 1 of 1 on page 65 of 70”,Name: “Table 1 of 1 on page 65 of 70”,Name: “Table 1 of 1 on page 65 of 70”,Name: “Table 1 of 1 on page 65 of 70”,Name: “Table 1 of 1 on page 65 of 70”,Name: “Table 1 of 1 on page 65 of 70”,Name: “Table 1 of 1 on page 65 of 70”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,Municipal Facilities,,,
Project: 16507,Title: Roof Replacement,,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Undefined,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"3,098,668","2,528,668",0,"120,000","150,000","150,000","150,000","(3,098,668)"
,,,Description and Scope,Description and Scope,,,
This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,
replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,
,,,Rationale,Rationale,,,
The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large capital,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large capital,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large capital,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large capital,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large capital,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large capital,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large capital,
expenses all at one time.,,,,,,,
,,,Funding Strategy,Funding Strategy,,,
There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,0
,,,,,Means of Financing,Means of Financing,
,,,,Funding Source,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"2,298,508"
,,,Transfer from General Fund,Transfer from General Fund,,,"570,000"
,,,Future Bond Issuance,Future Bond Issuance,,,"108,160"
,,,Other - Federal Funding,Other - Federal Funding,,,"122,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"3,098,668"
,,,,,Future Funding Requirements:,Future Funding Requirements:,"(3,098,668)"
Fiscal Year 2014,,,14 - 65,14 - 65,,Capital Improvements,Capital Improvements
