Name: “Table 1 of 1 on page 68 of 70”,Name: “Table 1 of 1 on page 68 of 70”,Name: “Table 1 of 1 on page 68 of 70”,Name: “Table 1 of 1 on page 68 of 70”,Name: “Table 1 of 1 on page 68 of 70”,Name: “Table 1 of 1 on page 68 of 70”,Name: “Table 1 of 1 on page 68 of 70”,Name: “Table 1 of 1 on page 68 of 70”
Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Parking Authority CIP,Parking Authority CIP,,,
Project: 0052,Title: County Street Parking Garage Replacement,Title: County Street Parking Garage Replacement,Title: County Street Parking Garage Replacement,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: County Street,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"3,350,000","250,000",0,"1,500,000","1,600,000",0,0,0
,,,Description and Scope,Description and Scope,,,
This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,
repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,,
necessary prior to replacement funding.,necessary prior to replacement funding.,,,,,,
,,,Rationale,,,,
The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,
"facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most",
recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,,
