Name: “Table 1 of 1 on page 35 of 70”,Name: “Table 1 of 1 on page 35 of 70”,Name: “Table 1 of 1 on page 35 of 70”,Name: “Table 1 of 1 on page 35 of 70”,Name: “Table 1 of 1 on page 35 of 70”,Name: “Table 1 of 1 on page 35 of 70”,Name: “Table 1 of 1 on page 35 of 70”,Name: “Table 1 of 1 on page 35 of 70”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 10209,Title: VPDES Permit Compliance,Title: VPDES Permit Compliance,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"16,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000",0
,,,Description and Scope,Description and Scope,,,
Compliance with our VPDES Permit is a State and Federal mandate.Project support includes activities that are required to meet that mandate such,Compliance with our VPDES Permit is a State and Federal mandate.Project support includes activities that are required to meet that mandate such,Compliance with our VPDES Permit is a State and Federal mandate.Project support includes activities that are required to meet that mandate such,Compliance with our VPDES Permit is a State and Federal mandate.Project support includes activities that are required to meet that mandate such,Compliance with our VPDES Permit is a State and Federal mandate.Project support includes activities that are required to meet that mandate such,Compliance with our VPDES Permit is a State and Federal mandate.Project support includes activities that are required to meet that mandate such,Compliance with our VPDES Permit is a State and Federal mandate.Project support includes activities that are required to meet that mandate such,
"as water quality monitoring, public education/outreach, inspection of industrial facilities, BMP monitoring, erosion and sediment control program,","as water quality monitoring, public education/outreach, inspection of industrial facilities, BMP monitoring, erosion and sediment control program,","as water quality monitoring, public education/outreach, inspection of industrial facilities, BMP monitoring, erosion and sediment control program,","as water quality monitoring, public education/outreach, inspection of industrial facilities, BMP monitoring, erosion and sediment control program,","as water quality monitoring, public education/outreach, inspection of industrial facilities, BMP monitoring, erosion and sediment control program,","as water quality monitoring, public education/outreach, inspection of industrial facilities, BMP monitoring, erosion and sediment control program,","as water quality monitoring, public education/outreach, inspection of industrial facilities, BMP monitoring, erosion and sediment control program,",
"annual reporting of pollutant loads, TMDL planning and implementation plans, annual reporting of stormwater program activities, etc.","annual reporting of pollutant loads, TMDL planning and implementation plans, annual reporting of stormwater program activities, etc.","annual reporting of pollutant loads, TMDL planning and implementation plans, annual reporting of stormwater program activities, etc.","annual reporting of pollutant loads, TMDL planning and implementation plans, annual reporting of stormwater program activities, etc.","annual reporting of pollutant loads, TMDL planning and implementation plans, annual reporting of stormwater program activities, etc.","annual reporting of pollutant loads, TMDL planning and implementation plans, annual reporting of stormwater program activities, etc.","annual reporting of pollutant loads, TMDL planning and implementation plans, annual reporting of stormwater program activities, etc.",
,,,Rationale,Rationale,,,
"We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the mandates","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the mandates","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the mandates","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the mandates","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the mandates","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the mandates","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the mandates",
of the permit. It is important to track these efforts and their costs.,of the permit. It is important to track these efforts and their costs.,of the permit. It is important to track these efforts and their costs.,,,,,
,,,Funding Strategy,Funding Strategy,,,
VPDES permit activities are funded primarily through the Stormwater Utility Fund.,VPDES permit activities are funded primarily through the Stormwater Utility Fund.,VPDES permit activities are funded primarily through the Stormwater Utility Fund.,VPDES permit activities are funded primarily through the Stormwater Utility Fund.,,,,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/08 - 06/17,"16,000,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"16,000,000"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,Transfer from Stormwater Fund,Transfer from Stormwater Fund,,,"16,000,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"16,000,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 35,,,Capital Improvements,Capital Improvements
