Name: “Table 1 of 1 on page 51 of 70”,Name: “Table 1 of 1 on page 51 of 70”,Name: “Table 1 of 1 on page 51 of 70”,Name: “Table 1 of 1 on page 51 of 70”,Name: “Table 1 of 1 on page 51 of 70”,Name: “Table 1 of 1 on page 51 of 70”,Name: “Table 1 of 1 on page 51 of 70”,Name: “Table 1 of 1 on page 51 of 70”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 00042,Title: Building Preservation - 601 and 1846 Court,Title: Building Preservation - 601 and 1846 Court,Title: Building Preservation - 601 and 1846 Court,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Downtown,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"400,000",0,"400,000",0,0,0,0,0
,,,Description and Scope,,,,
Exterior façade preservation of the buildings located at 601 and 1846 Court Street.,Exterior façade preservation of the buildings located at 601 and 1846 Court Street.,Exterior façade preservation of the buildings located at 601 and 1846 Court Street.,Exterior façade preservation of the buildings located at 601 and 1846 Court Street.,,,,
,,,Rationale,,,,
The municipal buildings located at 601 Court (The Main Library) and 1846 Court Street (Portsmouth Art & Cultural Center) are both iconic structures,The municipal buildings located at 601 Court (The Main Library) and 1846 Court Street (Portsmouth Art & Cultural Center) are both iconic structures,The municipal buildings located at 601 Court (The Main Library) and 1846 Court Street (Portsmouth Art & Cultural Center) are both iconic structures,The municipal buildings located at 601 Court (The Main Library) and 1846 Court Street (Portsmouth Art & Cultural Center) are both iconic structures,The municipal buildings located at 601 Court (The Main Library) and 1846 Court Street (Portsmouth Art & Cultural Center) are both iconic structures,The municipal buildings located at 601 Court (The Main Library) and 1846 Court Street (Portsmouth Art & Cultural Center) are both iconic structures,The municipal buildings located at 601 Court (The Main Library) and 1846 Court Street (Portsmouth Art & Cultural Center) are both iconic structures,
in the downtown district. Each has its own architectural uniqueness and appeal. As these are older structures certain maintenance activities are,in the downtown district. Each has its own architectural uniqueness and appeal. As these are older structures certain maintenance activities are,in the downtown district. Each has its own architectural uniqueness and appeal. As these are older structures certain maintenance activities are,in the downtown district. Each has its own architectural uniqueness and appeal. As these are older structures certain maintenance activities are,in the downtown district. Each has its own architectural uniqueness and appeal. As these are older structures certain maintenance activities are,in the downtown district. Each has its own architectural uniqueness and appeal. As these are older structures certain maintenance activities are,in the downtown district. Each has its own architectural uniqueness and appeal. As these are older structures certain maintenance activities are,
required to preserve the exterior façade. A rehabilitative process will sustain the building as they will continue function in their current capacities.,required to preserve the exterior façade. A rehabilitative process will sustain the building as they will continue function in their current capacities.,required to preserve the exterior façade. A rehabilitative process will sustain the building as they will continue function in their current capacities.,required to preserve the exterior façade. A rehabilitative process will sustain the building as they will continue function in their current capacities.,required to preserve the exterior façade. A rehabilitative process will sustain the building as they will continue function in their current capacities.,required to preserve the exterior façade. A rehabilitative process will sustain the building as they will continue function in their current capacities.,required to preserve the exterior façade. A rehabilitative process will sustain the building as they will continue function in their current capacities.,
,,,Funding Strategy,,,,
,Project Map,Project Map,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/13 - 06/14,"400,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"400,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Transfer from General Fund,Transfer from General Fund,,,"400,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"400,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 51,,,Capital Improvements,Capital Improvements
