Name: “Table 1 of 1 on page 54 of 70”,Name: “Table 1 of 1 on page 54 of 70”,Name: “Table 1 of 1 on page 54 of 70”,Name: “Table 1 of 1 on page 54 of 70”,Name: “Table 1 of 1 on page 54 of 70”,Name: “Table 1 of 1 on page 54 of 70”,Name: “Table 1 of 1 on page 54 of 70”,Name: “Table 1 of 1 on page 54 of 70”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,
,,,City of Portsmouth,,,,
,,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 00037,Title: Crime Analysis System,Title: Crime Analysis System,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Crawford Street,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"112,250",0,"56,125","56,125",0,0,0,0
,,,Description and Scope,,,,
Crime Analysis,,,,,,,
,,,Rationale,,,,
The Police Department is requesting the replacement of an aging computer aided dispatching (CAD) system and a crime analysis system to improve,The Police Department is requesting the replacement of an aging computer aided dispatching (CAD) system and a crime analysis system to improve,The Police Department is requesting the replacement of an aging computer aided dispatching (CAD) system and a crime analysis system to improve,The Police Department is requesting the replacement of an aging computer aided dispatching (CAD) system and a crime analysis system to improve,The Police Department is requesting the replacement of an aging computer aided dispatching (CAD) system and a crime analysis system to improve,The Police Department is requesting the replacement of an aging computer aided dispatching (CAD) system and a crime analysis system to improve,The Police Department is requesting the replacement of an aging computer aided dispatching (CAD) system and a crime analysis system to improve,
the effectiveness and efficiency of public safety operations. The current CAD system was purchased in 1994 and lacks many of the features and,the effectiveness and efficiency of public safety operations. The current CAD system was purchased in 1994 and lacks many of the features and,the effectiveness and efficiency of public safety operations. The current CAD system was purchased in 1994 and lacks many of the features and,the effectiveness and efficiency of public safety operations. The current CAD system was purchased in 1994 and lacks many of the features and,the effectiveness and efficiency of public safety operations. The current CAD system was purchased in 1994 and lacks many of the features and,the effectiveness and efficiency of public safety operations. The current CAD system was purchased in 1994 and lacks many of the features and,the effectiveness and efficiency of public safety operations. The current CAD system was purchased in 1994 and lacks many of the features and,
functionality of a modern automated dispatching support system.,functionality of a modern automated dispatching support system.,functionality of a modern automated dispatching support system.,,,,,
"CAD is a critical component of 911 calling taking and dispatching, providing dispatchers with information needed to quickly and effectively respond to","CAD is a critical component of 911 calling taking and dispatching, providing dispatchers with information needed to quickly and effectively respond to","CAD is a critical component of 911 calling taking and dispatching, providing dispatchers with information needed to quickly and effectively respond to","CAD is a critical component of 911 calling taking and dispatching, providing dispatchers with information needed to quickly and effectively respond to","CAD is a critical component of 911 calling taking and dispatching, providing dispatchers with information needed to quickly and effectively respond to","CAD is a critical component of 911 calling taking and dispatching, providing dispatchers with information needed to quickly and effectively respond to","CAD is a critical component of 911 calling taking and dispatching, providing dispatchers with information needed to quickly and effectively respond to",
an emergency. CAD systems maintain and track information on the caller including a history of prior incidents and alerts at the address; it identifies,an emergency. CAD systems maintain and track information on the caller including a history of prior incidents and alerts at the address; it identifies,an emergency. CAD systems maintain and track information on the caller including a history of prior incidents and alerts at the address; it identifies,an emergency. CAD systems maintain and track information on the caller including a history of prior incidents and alerts at the address; it identifies,an emergency. CAD systems maintain and track information on the caller including a history of prior incidents and alerts at the address; it identifies,an emergency. CAD systems maintain and track information on the caller including a history of prior incidents and alerts at the address; it identifies,an emergency. CAD systems maintain and track information on the caller including a history of prior incidents and alerts at the address; it identifies,
tracks and recommends available public safety resources and equipment needed to quickly respond to the incident. The current CAD system lacks,tracks and recommends available public safety resources and equipment needed to quickly respond to the incident. The current CAD system lacks,tracks and recommends available public safety resources and equipment needed to quickly respond to the incident. The current CAD system lacks,tracks and recommends available public safety resources and equipment needed to quickly respond to the incident. The current CAD system lacks,tracks and recommends available public safety resources and equipment needed to quickly respond to the incident. The current CAD system lacks,tracks and recommends available public safety resources and equipment needed to quickly respond to the incident. The current CAD system lacks,tracks and recommends available public safety resources and equipment needed to quickly respond to the incident. The current CAD system lacks,
real-time reporting capabilities and tools for on-line analysis and data query. The existing CAD system does not support integration with advanced,real-time reporting capabilities and tools for on-line analysis and data query. The existing CAD system does not support integration with advanced,real-time reporting capabilities and tools for on-line analysis and data query. The existing CAD system does not support integration with advanced,real-time reporting capabilities and tools for on-line analysis and data query. The existing CAD system does not support integration with advanced,real-time reporting capabilities and tools for on-line analysis and data query. The existing CAD system does not support integration with advanced,real-time reporting capabilities and tools for on-line analysis and data query. The existing CAD system does not support integration with advanced,real-time reporting capabilities and tools for on-line analysis and data query. The existing CAD system does not support integration with advanced,
automated mapping software to assist in analyzing call trends or identify areas of increased activity. A new CAD system is needed to integrate with,automated mapping software to assist in analyzing call trends or identify areas of increased activity. A new CAD system is needed to integrate with,automated mapping software to assist in analyzing call trends or identify areas of increased activity. A new CAD system is needed to integrate with,automated mapping software to assist in analyzing call trends or identify areas of increased activity. A new CAD system is needed to integrate with,automated mapping software to assist in analyzing call trends or identify areas of increased activity. A new CAD system is needed to integrate with,automated mapping software to assist in analyzing call trends or identify areas of increased activity. A new CAD system is needed to integrate with,automated mapping software to assist in analyzing call trends or identify areas of increased activity. A new CAD system is needed to integrate with,
the criminal record management system and support crime analysis software tools needed in the Police Department.,the criminal record management system and support crime analysis software tools needed in the Police Department.,the criminal record management system and support crime analysis software tools needed in the Police Department.,the criminal record management system and support crime analysis software tools needed in the Police Department.,the criminal record management system and support crime analysis software tools needed in the Police Department.,,,
A crime mapping and analysis system is being requested to support the rapid assessment and dissemination of critical information to the Police,A crime mapping and analysis system is being requested to support the rapid assessment and dissemination of critical information to the Police,A crime mapping and analysis system is being requested to support the rapid assessment and dissemination of critical information to the Police,A crime mapping and analysis system is being requested to support the rapid assessment and dissemination of critical information to the Police,A crime mapping and analysis system is being requested to support the rapid assessment and dissemination of critical information to the Police,A crime mapping and analysis system is being requested to support the rapid assessment and dissemination of critical information to the Police,,
"Department. A crime analysis system provides an instant overview or current crime activities in the form of maps, charts and reports accessible with","Department. A crime analysis system provides an instant overview or current crime activities in the form of maps, charts and reports accessible with","Department. A crime analysis system provides an instant overview or current crime activities in the form of maps, charts and reports accessible with","Department. A crime analysis system provides an instant overview or current crime activities in the form of maps, charts and reports accessible with","Department. A crime analysis system provides an instant overview or current crime activities in the form of maps, charts and reports accessible with","Department. A crime analysis system provides an instant overview or current crime activities in the form of maps, charts and reports accessible with","Department. A crime analysis system provides an instant overview or current crime activities in the form of maps, charts and reports accessible with",
a web browser dashboard. The crime analysis system will interface directly with the CAD and criminal record systems to pull data and consolidate,a web browser dashboard. The crime analysis system will interface directly with the CAD and criminal record systems to pull data and consolidate,a web browser dashboard. The crime analysis system will interface directly with the CAD and criminal record systems to pull data and consolidate,a web browser dashboard. The crime analysis system will interface directly with the CAD and criminal record systems to pull data and consolidate,a web browser dashboard. The crime analysis system will interface directly with the CAD and criminal record systems to pull data and consolidate,a web browser dashboard. The crime analysis system will interface directly with the CAD and criminal record systems to pull data and consolidate,a web browser dashboard. The crime analysis system will interface directly with the CAD and criminal record systems to pull data and consolidate,
