Name: “Table 1 of 1 on page 28 of 70”,Name: “Table 1 of 1 on page 28 of 70”,Name: “Table 1 of 1 on page 28 of 70”,Name: “Table 1 of 1 on page 28 of 70”,Name: “Table 1 of 1 on page 28 of 70”,Name: “Table 1 of 1 on page 28 of 70”,Name: “Table 1 of 1 on page 28 of 70”,Name: “Table 1 of 1 on page 28 of 70”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 10307,Title: Drainage Facilities Repair and Lake Management,Title: Drainage Facilities Repair and Lake Management,Title: Drainage Facilities Repair and Lake Management,Title: Drainage Facilities Repair and Lake Management,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: City-wide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"45,083,289","24,548,078","3,071,924","3,193,738","4,158,007","5,055,771","5,055,771",0
,,,Description and Scope,Description and Scope,,,
The Drainage Facility Repair and Lake Management Program provides funding for citywide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for citywide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for citywide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for citywide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for citywide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for citywide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for citywide system maintenance and repair which includes cave-in,
"repairs, cleaning, CCTV and lining of drainpipes; outfall and ditch maintenance; renewal and replacement of failing infrastructure; lake management","repairs, cleaning, CCTV and lining of drainpipes; outfall and ditch maintenance; renewal and replacement of failing infrastructure; lake management","repairs, cleaning, CCTV and lining of drainpipes; outfall and ditch maintenance; renewal and replacement of failing infrastructure; lake management","repairs, cleaning, CCTV and lining of drainpipes; outfall and ditch maintenance; renewal and replacement of failing infrastructure; lake management","repairs, cleaning, CCTV and lining of drainpipes; outfall and ditch maintenance; renewal and replacement of failing infrastructure; lake management","repairs, cleaning, CCTV and lining of drainpipes; outfall and ditch maintenance; renewal and replacement of failing infrastructure; lake management","repairs, cleaning, CCTV and lining of drainpipes; outfall and ditch maintenance; renewal and replacement of failing infrastructure; lake management",
"including aeration, trash booms, algae control, nuisance abatement and dam maintenance; VPDES permit support including water quality monitoring,","including aeration, trash booms, algae control, nuisance abatement and dam maintenance; VPDES permit support including water quality monitoring,","including aeration, trash booms, algae control, nuisance abatement and dam maintenance; VPDES permit support including water quality monitoring,","including aeration, trash booms, algae control, nuisance abatement and dam maintenance; VPDES permit support including water quality monitoring,","including aeration, trash booms, algae control, nuisance abatement and dam maintenance; VPDES permit support including water quality monitoring,","including aeration, trash booms, algae control, nuisance abatement and dam maintenance; VPDES permit support including water quality monitoring,","including aeration, trash booms, algae control, nuisance abatement and dam maintenance; VPDES permit support including water quality monitoring,",
"public education, and regional efforts through HRDPC; program administration/management and cost sharing in programs such as the Citywide","public education, and regional efforts through HRDPC; program administration/management and cost sharing in programs such as the Citywide","public education, and regional efforts through HRDPC; program administration/management and cost sharing in programs such as the Citywide","public education, and regional efforts through HRDPC; program administration/management and cost sharing in programs such as the Citywide","public education, and regional efforts through HRDPC; program administration/management and cost sharing in programs such as the Citywide","public education, and regional efforts through HRDPC; program administration/management and cost sharing in programs such as the Citywide","public education, and regional efforts through HRDPC; program administration/management and cost sharing in programs such as the Citywide",
Drainage Needs Assessment and the Downtown Master Utility study.,Drainage Needs Assessment and the Downtown Master Utility study.,Drainage Needs Assessment and the Downtown Master Utility study.,,,,,
,,,Rationale,Rationale,,,
,,,Funding Strategy,Funding Strategy,,,
This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,,,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/06 - 06/17,"45,083,289"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"45,083,289"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"13,500"
,,,Transfer from Stormwater Fund,Transfer from Stormwater Fund,,,"44,969,789"
,,,Other - Federal Funding,Other - Federal Funding,,,"100,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"45,083,289"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 28,14 - 28,,Capital Improvements,Capital Improvements
