Name: “Table 1 of 1 on page 22 of 70”,Name: “Table 1 of 1 on page 22 of 70”,Name: “Table 1 of 1 on page 22 of 70”,Name: “Table 1 of 1 on page 22 of 70”,Name: “Table 1 of 1 on page 22 of 70”,Name: “Table 1 of 1 on page 22 of 70”,Name: “Table 1 of 1 on page 22 of 70”,Name: “Table 1 of 1 on page 22 of 70”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Water,,,,
Project: 20207,Title: Replacement of Water Plant Equipment,Title: Replacement of Water Plant Equipment,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Lake Kilby Water Treatment Facility,Location: Lake Kilby Water Treatment Facility,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"12,643,913","9,643,913",0,0,"1,500,000","1,500,000",0,0
,,,Description and Scope,Description and Scope,,,
The department of Public Utilities is responsible for the operation and maintenance of a 32 million gallon a day water treatment facility and related,The department of Public Utilities is responsible for the operation and maintenance of a 32 million gallon a day water treatment facility and related,The department of Public Utilities is responsible for the operation and maintenance of a 32 million gallon a day water treatment facility and related,The department of Public Utilities is responsible for the operation and maintenance of a 32 million gallon a day water treatment facility and related,The department of Public Utilities is responsible for the operation and maintenance of a 32 million gallon a day water treatment facility and related,The department of Public Utilities is responsible for the operation and maintenance of a 32 million gallon a day water treatment facility and related,,
"appurtenances to provide reliable, safe and aesthetically pleasing water to its consumers. This project provides for replacement or rehabilitation of all","appurtenances to provide reliable, safe and aesthetically pleasing water to its consumers. This project provides for replacement or rehabilitation of all","appurtenances to provide reliable, safe and aesthetically pleasing water to its consumers. This project provides for replacement or rehabilitation of all","appurtenances to provide reliable, safe and aesthetically pleasing water to its consumers. This project provides for replacement or rehabilitation of all","appurtenances to provide reliable, safe and aesthetically pleasing water to its consumers. This project provides for replacement or rehabilitation of all","appurtenances to provide reliable, safe and aesthetically pleasing water to its consumers. This project provides for replacement or rehabilitation of all","appurtenances to provide reliable, safe and aesthetically pleasing water to its consumers. This project provides for replacement or rehabilitation of all",
"water treatment facility components such as pumps, electrical gear, chemical storage and feed systems, buildings and other capital items to ensure","water treatment facility components such as pumps, electrical gear, chemical storage and feed systems, buildings and other capital items to ensure","water treatment facility components such as pumps, electrical gear, chemical storage and feed systems, buildings and other capital items to ensure","water treatment facility components such as pumps, electrical gear, chemical storage and feed systems, buildings and other capital items to ensure","water treatment facility components such as pumps, electrical gear, chemical storage and feed systems, buildings and other capital items to ensure","water treatment facility components such as pumps, electrical gear, chemical storage and feed systems, buildings and other capital items to ensure","water treatment facility components such as pumps, electrical gear, chemical storage and feed systems, buildings and other capital items to ensure",
the proper operation of the facility.,the proper operation of the facility.,,,,,,
,,,Rationale,,,,
Improvements to the water treatment and conveyance facilities are required to continue to meet all federal and state regulatory requirements and,Improvements to the water treatment and conveyance facilities are required to continue to meet all federal and state regulatory requirements and,Improvements to the water treatment and conveyance facilities are required to continue to meet all federal and state regulatory requirements and,Improvements to the water treatment and conveyance facilities are required to continue to meet all federal and state regulatory requirements and,Improvements to the water treatment and conveyance facilities are required to continue to meet all federal and state regulatory requirements and,Improvements to the water treatment and conveyance facilities are required to continue to meet all federal and state regulatory requirements and,,
ensure high quality drinking water.,ensure high quality drinking water.,,,,,,
,,,Funding Strategy,Funding Strategy,,,
This is an ongoing project that will continue throughout the life of the water plant.,This is an ongoing project that will continue throughout the life of the water plant.,This is an ongoing project that will continue throughout the life of the water plant.,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
Project will reduce the annual maintenance requirements and provide for reliable operations.,Project will reduce the annual maintenance requirements and provide for reliable operations.,Project will reduce the annual maintenance requirements and provide for reliable operations.,Project will reduce the annual maintenance requirements and provide for reliable operations.,,,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/04 - 06/05,"6,436,914"
,,,Design,,,07/06 - 06/15,"745,700"
,,,Construction,,,07/06 - 06/17,"5,461,299"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"12,643,913"
,,,,,Means of Financing,,
,,,,,Funding Source,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"12,385,213"
,,,Transfer from Public Utilities Fund,Transfer from Public Utilities Fund,,,"258,700"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"12,643,913"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 22,,,Capital Improvements,Capital Improvements
