Name: “Table 1 of 1 on page 20 of 70”,Name: “Table 1 of 1 on page 20 of 70”,Name: “Table 1 of 1 on page 20 of 70”,Name: “Table 1 of 1 on page 20 of 70”,Name: “Table 1 of 1 on page 20 of 70”,Name: “Table 1 of 1 on page 20 of 70”,Name: “Table 1 of 1 on page 20 of 70”,Name: “Table 1 of 1 on page 20 of 70”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Water,,,,
Project: 20407,Title: Meter Replacement Program,Title: Meter Replacement Program,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Citywide,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"9,999,000","9,999,000",0,0,0,0,0,0
,,,Description and Scope,,,,
"The Department of Public Utilities is responsible for the reading, operation and maintenance of over 31,000 water meters. This project provides for","The Department of Public Utilities is responsible for the reading, operation and maintenance of over 31,000 water meters. This project provides for","The Department of Public Utilities is responsible for the reading, operation and maintenance of over 31,000 water meters. This project provides for","The Department of Public Utilities is responsible for the reading, operation and maintenance of over 31,000 water meters. This project provides for","The Department of Public Utilities is responsible for the reading, operation and maintenance of over 31,000 water meters. This project provides for","The Department of Public Utilities is responsible for the reading, operation and maintenance of over 31,000 water meters. This project provides for","The Department of Public Utilities is responsible for the reading, operation and maintenance of over 31,000 water meters. This project provides for",
the systematic replacement of the water meters with an automated meter reading system.,the systematic replacement of the water meters with an automated meter reading system.,the systematic replacement of the water meters with an automated meter reading system.,the systematic replacement of the water meters with an automated meter reading system.,,,,
,,,Rationale,,,,
National studies indicate that residential and commercial water meters decrease in accuracy over time (especially in recording lower range flows to,National studies indicate that residential and commercial water meters decrease in accuracy over time (especially in recording lower range flows to,National studies indicate that residential and commercial water meters decrease in accuracy over time (especially in recording lower range flows to,National studies indicate that residential and commercial water meters decrease in accuracy over time (especially in recording lower range flows to,National studies indicate that residential and commercial water meters decrease in accuracy over time (especially in recording lower range flows to,National studies indicate that residential and commercial water meters decrease in accuracy over time (especially in recording lower range flows to,National studies indicate that residential and commercial water meters decrease in accuracy over time (especially in recording lower range flows to,
the point that replacement is economically justified due to loss of revenue).,the point that replacement is economically justified due to loss of revenue).,the point that replacement is economically justified due to loss of revenue).,,,,,
,,,Funding Strategy,,,,
.,,,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
This project will reduce the annual maintenance requirements and increase revenues due to accurate metering of water consumption.,This project will reduce the annual maintenance requirements and increase revenues due to accurate metering of water consumption.,This project will reduce the annual maintenance requirements and increase revenues due to accurate metering of water consumption.,This project will reduce the annual maintenance requirements and increase revenues due to accurate metering of water consumption.,This project will reduce the annual maintenance requirements and increase revenues due to accurate metering of water consumption.,This project will reduce the annual maintenance requirements and increase revenues due to accurate metering of water consumption.,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/04 - 06/05,"1,500,000"
,,,Design,,,07/06 - 06/12,"699,900"
,,,Construction,,,07/06 - 06/12,"7,799,100"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"9,999,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,,"9,999,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"9,999,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 20,,,Capital Improvements,Capital Improvements
