Name: “Table 1 of 1 on page 59 of 70”,Name: “Table 1 of 1 on page 59 of 70”,Name: “Table 1 of 1 on page 59 of 70”,Name: “Table 1 of 1 on page 59 of 70”,Name: “Table 1 of 1 on page 59 of 70”,Name: “Table 1 of 1 on page 59 of 70”,Name: “Table 1 of 1 on page 59 of 70”,Name: “Table 1 of 1 on page 59 of 70”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 18207,Title: Portsmouth Court Complex(New Judicial Complex),Title: Portsmouth Court Complex(New Judicial Complex),Title: Portsmouth Court Complex(New Judicial Complex),,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference: Bold New Directions,Plan Reference: Bold New Directions,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: 800 Crawford Street,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"86,748,551","77,700,259","9,048,292",0,0,0,0,0
,,,Description and Scope,,,,
This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,,
"house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross square","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross square","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross square","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross square","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross square","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross square","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross square",
"feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court. The new Judicial Complex","feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court. The new Judicial Complex","feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court. The new Judicial Complex","feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court. The new Judicial Complex","feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court. The new Judicial Complex","feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court. The new Judicial Complex","feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court. The new Judicial Complex",
will open fall of FY13.,,,,,,,
,,,Rationale,,,,
The existing civic center presently housing the courts was in serious need of renovation or replacement.,The existing civic center presently housing the courts was in serious need of renovation or replacement.,The existing civic center presently housing the courts was in serious need of renovation or replacement.,The existing civic center presently housing the courts was in serious need of renovation or replacement.,The existing civic center presently housing the courts was in serious need of renovation or replacement.,,,
A lawsuit by the Circuit Court judges required the City to move forward with replacement.,A lawsuit by the Circuit Court judges required the City to move forward with replacement.,A lawsuit by the Circuit Court judges required the City to move forward with replacement.,A lawsuit by the Circuit Court judges required the City to move forward with replacement.,,,,
,,,Funding Strategy,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @",,
"$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to",
establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts rather,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts rather,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts rather,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts rather,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts rather,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts rather,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts rather,
than the original plans for the Circuit Court only.,than the original plans for the Circuit Court only.,,,,,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Design,,,08/06 - 01/08,"6,250,000"
,,,Construction,,,07/08 - 12/14,"73,548,292"
,,,Judicial Facilities Imprv(Desk Inc),Judicial Facilities Imprv(Desk Inc),,01/05 - 01/08,"6,950,259"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"86,748,551"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Trans from Gen Fund to Capital Reserve - Courts,Trans from Gen Fund to Capital Reserve - Courts,Trans from Gen Fund to Capital Reserve - Courts,,"4,396,375"
,,,General Obligation Bonds,General Obligation Bonds,,,"44,303,884"
,,,General Obligation Notes,General Obligation Notes,,,"25,000,000"
,,,Transfer from General Fund,Transfer from General Fund,,,"4,000,000"
,,,Future Bond Issuance,Future Bond Issuance,,,"9,048,292"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"86,748,551"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 59,,,Capital Improvements,Capital Improvements
