Name: “Table 1 of 1 on page 11 of 70”,Name: “Table 1 of 1 on page 11 of 70”,Name: “Table 1 of 1 on page 11 of 70”,Name: “Table 1 of 1 on page 11 of 70”,Name: “Table 1 of 1 on page 11 of 70”,Name: “Table 1 of 1 on page 11 of 70”,Name: “Table 1 of 1 on page 11 of 70”,Name: “Table 1 of 1 on page 11 of 70”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Sewer,,,,
Project: 19007,Title: Suction Well Rehabilitation,Title: Suction Well Rehabilitation,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Undefined,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"7,018,290","7,018,290",0,0,0,0,0,0
,,,Description and Scope,,,,
"The Department of Public Utilities is responsible for the operation & maintenance of an extensive wastewater collection system, of which 72% is at","The Department of Public Utilities is responsible for the operation & maintenance of an extensive wastewater collection system, of which 72% is at","The Department of Public Utilities is responsible for the operation & maintenance of an extensive wastewater collection system, of which 72% is at","The Department of Public Utilities is responsible for the operation & maintenance of an extensive wastewater collection system, of which 72% is at","The Department of Public Utilities is responsible for the operation & maintenance of an extensive wastewater collection system, of which 72% is at","The Department of Public Utilities is responsible for the operation & maintenance of an extensive wastewater collection system, of which 72% is at","The Department of Public Utilities is responsible for the operation & maintenance of an extensive wastewater collection system, of which 72% is at",
"the end of its useful engineering life. Included in the wastewater collection system is 10 miles of vacuum sewer piping and 29 sewer suction wells,","the end of its useful engineering life. Included in the wastewater collection system is 10 miles of vacuum sewer piping and 29 sewer suction wells,","the end of its useful engineering life. Included in the wastewater collection system is 10 miles of vacuum sewer piping and 29 sewer suction wells,","the end of its useful engineering life. Included in the wastewater collection system is 10 miles of vacuum sewer piping and 29 sewer suction wells,","the end of its useful engineering life. Included in the wastewater collection system is 10 miles of vacuum sewer piping and 29 sewer suction wells,","the end of its useful engineering life. Included in the wastewater collection system is 10 miles of vacuum sewer piping and 29 sewer suction wells,","the end of its useful engineering life. Included in the wastewater collection system is 10 miles of vacuum sewer piping and 29 sewer suction wells,",
"which serve the older Downtown, Midtown, Westhaven and Glenshellah portions of the City. This project provides for replacement and/or","which serve the older Downtown, Midtown, Westhaven and Glenshellah portions of the City. This project provides for replacement and/or","which serve the older Downtown, Midtown, Westhaven and Glenshellah portions of the City. This project provides for replacement and/or","which serve the older Downtown, Midtown, Westhaven and Glenshellah portions of the City. This project provides for replacement and/or","which serve the older Downtown, Midtown, Westhaven and Glenshellah portions of the City. This project provides for replacement and/or","which serve the older Downtown, Midtown, Westhaven and Glenshellah portions of the City. This project provides for replacement and/or",,
rehabilitation of the vacuum sewer piping and suction wells.,rehabilitation of the vacuum sewer piping and suction wells.,,,,,,
,,,Rationale,,,,
•The vacuum sewer system ranges in age from 52 to 77 years old and exposure to a harsh wastewater environment has caused extensive,•The vacuum sewer system ranges in age from 52 to 77 years old and exposure to a harsh wastewater environment has caused extensive,•The vacuum sewer system ranges in age from 52 to 77 years old and exposure to a harsh wastewater environment has caused extensive,•The vacuum sewer system ranges in age from 52 to 77 years old and exposure to a harsh wastewater environment has caused extensive,•The vacuum sewer system ranges in age from 52 to 77 years old and exposure to a harsh wastewater environment has caused extensive,•The vacuum sewer system ranges in age from 52 to 77 years old and exposure to a harsh wastewater environment has caused extensive,,
deterioration of this system.,deterioration of this system.,,,,,,
"•Planned, phased expenditures are necessary to maintain this system’s operation and prevent failure which could have both public health and","•Planned, phased expenditures are necessary to maintain this system’s operation and prevent failure which could have both public health and","•Planned, phased expenditures are necessary to maintain this system’s operation and prevent failure which could have both public health and","•Planned, phased expenditures are necessary to maintain this system’s operation and prevent failure which could have both public health and","•Planned, phased expenditures are necessary to maintain this system’s operation and prevent failure which could have both public health and","•Planned, phased expenditures are necessary to maintain this system’s operation and prevent failure which could have both public health and",,
environmental consequences.,environmental consequences.,,,,,,
,,,Funding Strategy,,,,
This is an on-going project that will continue until the vacuum lines and suction wells have been rehabilitated and/or replaced. A Master Plan Study to,This is an on-going project that will continue until the vacuum lines and suction wells have been rehabilitated and/or replaced. A Master Plan Study to,This is an on-going project that will continue until the vacuum lines and suction wells have been rehabilitated and/or replaced. A Master Plan Study to,This is an on-going project that will continue until the vacuum lines and suction wells have been rehabilitated and/or replaced. A Master Plan Study to,This is an on-going project that will continue until the vacuum lines and suction wells have been rehabilitated and/or replaced. A Master Plan Study to,This is an on-going project that will continue until the vacuum lines and suction wells have been rehabilitated and/or replaced. A Master Plan Study to,This is an on-going project that will continue until the vacuum lines and suction wells have been rehabilitated and/or replaced. A Master Plan Study to,
"set the range of rehabilitation costs and priorities was completed in FY ’03-‘04. A pilot program to replace one section of the system, refining","set the range of rehabilitation costs and priorities was completed in FY ’03-‘04. A pilot program to replace one section of the system, refining","set the range of rehabilitation costs and priorities was completed in FY ’03-‘04. A pilot program to replace one section of the system, refining","set the range of rehabilitation costs and priorities was completed in FY ’03-‘04. A pilot program to replace one section of the system, refining","set the range of rehabilitation costs and priorities was completed in FY ’03-‘04. A pilot program to replace one section of the system, refining","set the range of rehabilitation costs and priorities was completed in FY ’03-‘04. A pilot program to replace one section of the system, refining",,
rehabilitation methods and costs was performed in FY04-05. Rehabilitation of the system suction wells has been completed. Future funding will,rehabilitation methods and costs was performed in FY04-05. Rehabilitation of the system suction wells has been completed. Future funding will,rehabilitation methods and costs was performed in FY04-05. Rehabilitation of the system suction wells has been completed. Future funding will,rehabilitation methods and costs was performed in FY04-05. Rehabilitation of the system suction wells has been completed. Future funding will,rehabilitation methods and costs was performed in FY04-05. Rehabilitation of the system suction wells has been completed. Future funding will,rehabilitation methods and costs was performed in FY04-05. Rehabilitation of the system suction wells has been completed. Future funding will,rehabilitation methods and costs was performed in FY04-05. Rehabilitation of the system suction wells has been completed. Future funding will,
begin phased replacement of the vacuum lines.,begin phased replacement of the vacuum lines.,,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.",
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Construction,,,07/06 - 06/17,"7,018,290"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"7,018,290"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,,"7,018,290"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"7,018,290"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 11,,,Capital Improvements,Capital Improvements
