Name: “Table 1 of 1 on page 56 of 70”,Name: “Table 1 of 1 on page 56 of 70”,Name: “Table 1 of 1 on page 56 of 70”,Name: “Table 1 of 1 on page 56 of 70”,Name: “Table 1 of 1 on page 56 of 70”,Name: “Table 1 of 1 on page 56 of 70”,Name: “Table 1 of 1 on page 56 of 70”,Name: “Table 1 of 1 on page 56 of 70”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,,
,,,City of Portsmouth,,,,
,,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 16707,Title: HazMat Program,Title: HazMat Program,,,,Status: Active Project,Status: Active Project
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Citywide,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"2,727,939","2,302,939","85,000","85,000","85,000","85,000","85,000","2,740"
,,,Description and Scope,,,,
"This project is used to pay for the removal and or disposal of hazardous material such as asbestos, lead, mold and PCB's. Most of the hazardous","This project is used to pay for the removal and or disposal of hazardous material such as asbestos, lead, mold and PCB's. Most of the hazardous","This project is used to pay for the removal and or disposal of hazardous material such as asbestos, lead, mold and PCB's. Most of the hazardous","This project is used to pay for the removal and or disposal of hazardous material such as asbestos, lead, mold and PCB's. Most of the hazardous","This project is used to pay for the removal and or disposal of hazardous material such as asbestos, lead, mold and PCB's. Most of the hazardous","This project is used to pay for the removal and or disposal of hazardous material such as asbestos, lead, mold and PCB's. Most of the hazardous","This project is used to pay for the removal and or disposal of hazardous material such as asbestos, lead, mold and PCB's. Most of the hazardous",
"material has been identified in the City's Asbestos Management Plan. During renovations, some material is exposed that was not identified in the","material has been identified in the City's Asbestos Management Plan. During renovations, some material is exposed that was not identified in the","material has been identified in the City's Asbestos Management Plan. During renovations, some material is exposed that was not identified in the","material has been identified in the City's Asbestos Management Plan. During renovations, some material is exposed that was not identified in the","material has been identified in the City's Asbestos Management Plan. During renovations, some material is exposed that was not identified in the","material has been identified in the City's Asbestos Management Plan. During renovations, some material is exposed that was not identified in the","material has been identified in the City's Asbestos Management Plan. During renovations, some material is exposed that was not identified in the",
"Management Plan. When this occurs, the material must be removed and disposed of properly.","Management Plan. When this occurs, the material must be removed and disposed of properly.","Management Plan. When this occurs, the material must be removed and disposed of properly.","Management Plan. When this occurs, the material must be removed and disposed of properly.",,,,
,,,Rationale,,,,
This project provides funding to allow for removal of hazardous materials in emergencies as well as planned renovations. The City's Asbestos,This project provides funding to allow for removal of hazardous materials in emergencies as well as planned renovations. The City's Asbestos,This project provides funding to allow for removal of hazardous materials in emergencies as well as planned renovations. The City's Asbestos,This project provides funding to allow for removal of hazardous materials in emergencies as well as planned renovations. The City's Asbestos,This project provides funding to allow for removal of hazardous materials in emergencies as well as planned renovations. The City's Asbestos,This project provides funding to allow for removal of hazardous materials in emergencies as well as planned renovations. The City's Asbestos,This project provides funding to allow for removal of hazardous materials in emergencies as well as planned renovations. The City's Asbestos,
"Management Plan as required by the State, contains language that requires annual funding for both emergency and routine removal of asbestos. This","Management Plan as required by the State, contains language that requires annual funding for both emergency and routine removal of asbestos. This","Management Plan as required by the State, contains language that requires annual funding for both emergency and routine removal of asbestos. This","Management Plan as required by the State, contains language that requires annual funding for both emergency and routine removal of asbestos. This","Management Plan as required by the State, contains language that requires annual funding for both emergency and routine removal of asbestos. This","Management Plan as required by the State, contains language that requires annual funding for both emergency and routine removal of asbestos. This","Management Plan as required by the State, contains language that requires annual funding for both emergency and routine removal of asbestos. This",
project provides the required funding.,project provides the required funding.,,,,,,
,,,Funding Strategy,,,,
This project is funded through GO bonds.,This project is funded through GO bonds.,,,,,,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/06 - 06/17,"2,730,679"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,730,679"
,,,,,Means of Financing,Means of Financing,
,,,,Funding Source,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"2,302,939"
,,,Transfer from General Fund,Transfer from General Fund,,,"425,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,727,939"
,,,,,Future Funding Requirements:,Future Funding Requirements:,"2,740"
Fiscal Year 2014,,,14 - 56,,,Capital Improvements,Capital Improvements
