Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”,Name: “Table 1 of 1 on page 133 of 239”
Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122
,,,,,,,,
,COMMUNITY DEVELOPMENT,COMMUNITY DEVELOPMENT,COMMUNITY DEVELOPMENT,COMMUNITY DEVELOPMENT,,,,
Major Departmental Functions,,,,,,,,
* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.
,,,,,FY 2010,FY 2010,FY 2011,FY 2011
,,FY 2008,,FY 2009,Revised,Revised,Adopted,Adopted
Budget Detail,,Actual,,Actual,,Budget,,Budget
Litter Control Grant,$,"9,025",$,"2,781",$,"5,125",$,-
Contributions to Agencies:,,,,,,,,
American Red Cross -- York/Poquoson Chapter,,"5,000",,"5,000",,-,,-
Commission on Homelessness,,-,,"2,781",,"2,781",,"2,781"
Disabilities Transportation,,"6,000",,"6,000",,"6,000",,"6,000"
Food Bank of VA Peninsula,,"5,000",,-,,-,,-
Green Jobs Alliance,,-,,-,,"1,180",,-
Hampton Roads Economic Development,,"11,811",,"11,918",,"11,858",,"11,238"
Hampton Roads Planning District Comm (HRPDC),,"9,646",,"9,729",,"9,729",,"9,691"
Heritage Park Project,,-,,-,,"67,500",,"67,500"
HRPDC Municipal Construction Standards,,373,,376,,377,,375
HRPDC Other Projects,,"4,075",,"4,031",,"5,975",,"3,949"
HRPDC Regional Groundwater Mitigation,,"3,421",,"3,461",,"3,564",,"3,461"
HRPDC Stormwater Management Program,,"10,029",,"10,066",,"8,508",,"10,066"
HR Military/Federal Facilities Alliance,,"5,176",,"5,882",,"5,932",,"5,318"
Institute for Government,,-,,"1,270",,-,,-
NASA Aeronautics Support Team (NAST),,"10,000",,"10,000",,"5,000",,"5,590"
Peninsula Chamber of Commerce,,"1,750",,"1,750",,"1,750",,"1,750"
Peninsula Council Workforce Development,,"5,847",,"5,847",,"5,847",,"5,847"
Peninsula Community Foundation,,-,,"25,000",,-,,-
Peninsula Emergency Medical Services,,"1,156",,"1,156",,"1,156",,"1,156"
Peninsula Workforce Development Center,,-,,"10,500",,-,,-
Poquoson Museum Foundation,,"6,000",,"6,000",,"6,000",,-
Poquoson Historical Commission,,500,,500,,500,,500
Regional Air Service Enhancement Fund (RAISE),,"6,000",,"4,767",,"4,767",,"4,767"
Regional Youth Violence Prevention,,-,,"5,638",,-,,-
Retired Senior Volunteer Program,,"2,500",,"2,750",,"2,750",,"2,750"
Small Business Development Center,,"3,000",,"3,000",,"3,000",,"3,000"
Thomas Nelson Community College,,"34,561",,"17,935",,"28,647",,"29,540"
Transitions Family Violence Services,,"1,300",,"1,750",,"1,750",,"1,750"
YMCA Contribution,,"10,000",,"10,000",,"10,000",,"10,000"
Totals,$,"152,170",$,"169,888",$,"199,696",$,"187,029"
Significant Budget Items,,,,,,,,
* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.,* Thomas Nelson Community College increased their funding request due to higher Poquoson enrollment.
* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,* The Green Jobs Alliance was a one time funding request in FY 2010 and has been eliminated in,
FY 2011.,,,,,,,,
* The Heritage Park project is included in this budget and is funded solely through donations.,* The Heritage Park project is included in this budget and is funded solely through donations.,* The Heritage Park project is included in this budget and is funded solely through donations.,* The Heritage Park project is included in this budget and is funded solely through donations.,* The Heritage Park project is included in this budget and is funded solely through donations.,* The Heritage Park project is included in this budget and is funded solely through donations.,* The Heritage Park project is included in this budget and is funded solely through donations.,,
,89,,,,,,,
