Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”,Name: “Table 1 of 1 on page 98 of 239”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,,,,,,,,
,,,INSPECTIONS,INSPECTIONS,INSPECTIONS,INSPECTIONS,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2010,FY 2010,FY 2011,FY 2011,Change,Change,Change
,,FY 2008,,FY 2009,Revised,Revised,Adopted,Adopted,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"226,308",$,"238,294",$,"258,662",$,"245,844",$,"(12,818)",-5.0%
Operating Expenses,,"17,860",,"11,542",,"98,990",,"92,485",,"(6,505)",-6.6%
Capital Outlay,,"5,319",,357,,-,,-,,-,n/a
Totals,$,"249,487",$,"250,193",$,"357,652",$,"338,329",$,"(19,323)",-5.4%
Personnel Summary,,,,,,,,,,,
,,,,FY 2008,,FY 2009,,FY 2010,,FY 2011,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Building Official,,,,1,,1,,1,,1,
Code Inspector,,,,1,,1,,0,,1,
Inspector II,,,,1,,1,,1,,0,
Secretary,,,,1,,1,,1,,1,
Part Time (FTE),,,,0,,0,,0,,0.75,
Totals,,,,4,,4,,3,,3.75,
Goals and Objectives,,,,,,,,,,,
"* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections","* Provide information for the implementation of the City GIS system and strive for ""real time inspections",
"and information gathering.""",,,,,,,,,,,
* Revise the Building/Zoning permit application form.,* Revise the Building/Zoning permit application form.,* Revise the Building/Zoning permit application form.,* Revise the Building/Zoning permit application form.,* Revise the Building/Zoning permit application form.,,,,,,,
* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,* Continue staff education in various building related trades and for Building Official's certification as a,
Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,Coastal Construction Inspector through the International Code Council (ICC).,,,
* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,* Provide the citizens and contractors the most updated information on codes and ordinances.,
"* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and","* Continue to improve the methods used to obtain compliance with zoning, property maintenance and",
building codes.,,,,,,,,,,,
* Continue to update new permit program.,* Continue to update new permit program.,* Continue to update new permit program.,,,,,,,,,
,,,,54,,,,,,,
