Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”,Name: “Table 1 of 1 on page 37 of 62”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,,,,,,,
been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards,been incorporated into the General Fund budget since FY 2012 to comply with the General Accounting Standards
Board Statement 54 (GASB 54).,Board Statement 54 (GASB 54).,Board Statement 54 (GASB 54).,Board Statement 54 (GASB 54).,Board Statement 54 (GASB 54).,,,,,,,,,,,,
General Fund Revenues,General Fund Revenues,General Fund Revenues,General Fund Revenues,General Fund Revenues,,,,,,,,,,,,
,,,,,,FY 2011,,FY 2012,FY 2012,FY 2013,FY 2013,FY 2012,FY 2012,vs. FY 2013,vs. FY 2013,
Source,Source,,,,,,,,,,,,,,,
,,,,,,Actual,Approved,Approved,Approved,Approved,Approved,$ Change,$ Change,% Change,% Change,
General Property Taxes,General Property Taxes,General Property Taxes,General Property Taxes,,"251,492,239","251,492,239","246,979,300","246,979,300","246,979,300","244,871,000","244,871,000","-2,108,300","-2,108,300",,-0.9%,
Other Local Taxes,Other Local Taxes,Other Local Taxes,Other Local Taxes,,"145,141,964","145,141,964","150,730,000","150,730,000","150,730,000","154,180,000","154,180,000","3,450,000","3,450,000",,2.3%,
Permits and Fees,Permits and Fees,Permits and Fees,Permits and Fees,,"4,106,796","4,106,796","4,516,300","4,516,300","4,516,300","4,427,928","4,427,928",,"-88,372",,-2.0%,
Fines and Forfeitures,Fines and Forfeitures,Fines and Forfeitures,Fines and Forfeitures,,"1,287,993","1,287,993","1,250,000","1,250,000","1,250,000","1,235,800","1,235,800",,"-14,200",,-1.1%,
Use of Money and Property,Use of Money and Property,Use of Money and Property,Use of Money and Property,Use of Money and Property,"7,154,131","7,154,131","6,711,300","6,711,300","6,711,300","6,903,200","6,903,200",,"191,900",,2.9%,
Charges for Services,Charges for Services,Charges for Services,Charges for Services,,"33,442,918","33,442,918","36,323,900","36,323,900","36,323,900","35,908,538","35,908,538","-415,362","-415,362",,-1.1%,
Miscellaneous Revenue,Miscellaneous Revenue,Miscellaneous Revenue,Miscellaneous Revenue,,"8,583,723","8,583,723","8,328,300","8,328,300","8,328,300","8,904,776","8,904,776",,"576,476",,6.9%,
Recovered Costs,Recovered Costs,Recovered Costs,,,"10,722,712","10,722,712","10,579,200","10,579,200","10,579,200","11,372,200","11,372,200",,"793,000",,7.5%,
Non-Categorical Aid - State,Non-Categorical Aid - State,Non-Categorical Aid - State,Non-Categorical Aid - State,Non-Categorical Aid - State,"32,115,681","32,115,681","31,857,000","31,857,000","31,857,000","31,982,000","31,982,000",,"125,000",,0.4%,
Shared Expenses - State,Shared Expenses - State,Shared Expenses - State,Shared Expenses - State,Shared Expenses - State,"19,330,202","19,330,202","19,153,000","19,153,000","19,153,000","19,333,200","19,333,200",,"180,200",,0.9%,
Categorical Aid - State,Categorical Aid - State,Categorical Aid - State,Categorical Aid - State,,"242,828,372","242,828,372","236,303,700","236,303,700","236,303,700","237,923,794","237,923,794","1,620,094","1,620,094",,0.7%,
Federal Aid 1,Federal Aid 1,Federal Aid 1,,,"7,538,445","7,538,445","12,345,200","12,345,200","12,345,200","6,805,200","6,805,200","-5,540,000","-5,540,000",,-44.9%,
Other Sources and Transfers In,Other Sources and Transfers In,Other Sources and Transfers In,Other Sources and Transfers In,Other Sources and Transfers In,"23,972,126","23,972,126","29,939,000","29,939,000","29,939,000","35,943,173","35,943,173","6,004,173","6,004,173",,20.1%,
General Fund Total,General Fund Total,General Fund Total,General Fund Total,,"787,717,302","787,717,302","795,016,200","795,016,200","795,016,200","799,790,809","799,790,809","4,774,609","4,774,609",,0.6%,
1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,1 The reduction in federal aid is largely due to the end of the federal Education Jobs Fund program.,,
R EVENUE MONITORING,R EVENUE MONITORING,R EVENUE MONITORING,R EVENUE MONITORING,R EVENUE MONITORING,,,,,,,,,,,,
